,aeropuer-aemet
879,-34.568615
880,-42.166313
881,3.5827215
882,-8.479942
883,-19.452291
884,-15.039526
885,1.6400387
886,0.85979426
887,-7.7951536
888,5.3020706
889,76.30736
890,151.83727
891,380.86578
892,660.0828
893,618.9146
894,695.9533
895,674.1818
896,341.7611
897,219.21863
898,237.58078
899,74.345085
900,48.033035
901,53.07457
902,45.186096
903,54.30943
904,57.37918
905,-28.048735
906,-40.622486
907,8.344644
908,63.563976
909,35.89355
910,-38.060207
911,14.989716
912,-23.132084
913,109.01232
914,201.74942
915,439.51242
916,607.3726
917,629.7984
918,619.65344
919,584.11414
920,337.13818
921,265.54224
922,160.2542
923,55.819252
924,36.640312
925,51.361313
926,37.483192
927,8.379062
928,8.706196
929,-22.715899
930,-44.20204
931,-50.650475
932,-36.037773
933,21.403374
934,-42.028797
935,-76.0766
936,8.601415
937,-72.824554
938,1.2412568
939,380.80948
940,660.003
941,680.4712
942,676.49506
943,659.37555
944,469.54977
945,272.7487
946,174.11977
947,-90.04782
948,-36.714127
949,-77.37726
950,-181.93268
951,-89.146805
952,-93.36074
953,-36.29009
954,-23.743156
955,-45.43854
956,-34.402164
957,-69.974846
958,-66.86114
959,-78.51811
960,10.39704
961,105.25222
962,137.69612
963,437.6653
964,655.7576
965,670.2625
966,683.3351
967,684.62823
968,448.84882
969,314.6462
970,246.7021
971,36.392548
972,-0.48896563
973,17.772114
974,75.09436
975,33.432426
976,17.723392
977,-116.48432
978,-24.431816
979,-51.971905
980,-26.561106
981,-12.094394
982,-28.504126
983,-36.986496
984,-37.069332
985,-24.13268
986,151.3963
987,434.49655
988,646.517
989,734.1452
990,727.0264
991,682.86163
992,447.63623
993,273.24713
994,145.1951
995,12.2617235
996,-18.63854
997,-5.7730103
998,20.214434
999,-6.245614
1000,-11.252848
1001,-21.97228
1002,-15.232403
1003,15.297381
1004,2.0881577
1005,-30.280718
1006,-26.951714
1007,-26.236937
1008,-19.55992
1009,33.047375
1010,125.83664
1011,345.25418
1012,618.24066
1013,679.0822
1014,677.4607
1015,654.1781
1016,451.61905
1017,339.54147
1018,230.33557
1019,11.081533
1020,53.234818
1021,102.194084
1022,98.11128
1023,-20.498726
1024,-10.9386
1025,-36.865368
1026,-25.012274
1027,29.25024
1028,-20.632755
1029,-8.498815
1030,-4.4371414
1031,4.557514
1032,91.29703
1033,-26.348045
1034,98.72312
1035,368.4507
1036,588.6923
1037,484.6125
1038,600.0469
1039,615.6496
1040,379.83533
1041,331.68802
1042,218.81444
1043,79.02943
1044,47.7789
1045,48.549294
1046,-35.158413
1047,11.600501
1048,-45.022015
1049,-10.655938
1050,12.20804
1051,-5.7428155
1052,-13.052916
1053,-5.6826305
1054,-7.9160013
1055,-41.05203
1056,-31.11154
1057,76.33475
1058,164.92833
1059,386.82446
1060,627.97797
1061,626.9111
1062,686.4913
1063,680.9397
1064,424.82385
1065,351.31638
1066,260.07013
1067,81.22225
1068,46.614876
1069,50.26677
1070,42.782154
1071,59.599007
1072,31.874237
1073,-23.072899
1074,2.7140517
1075,-48.157753
1076,-11.111457
1077,-4.796379
1078,-2.066637
1079,-27.593557
1080,-64.22408
1081,44.154617
1082,326.50183
1083,370.01746
1084,616.9621
1085,683.1264
1086,681.49347
1087,641.23755
1088,412.511
1089,290.7129
1090,209.62968
1091,58.367912
1092,33.10739
1093,24.675383
1094,39.544685
1095,-19.649857
1096,-29.000294
1097,-34.93722
1098,-29.64835
1099,8.656775
1100,7.309271
1101,-21.646687
1102,6.0779552
1103,14.608776
1104,5.0951366
1105,89.97974
1106,190.04822
1107,356.47165
1108,558.2513
1109,717.39246
1110,721.3768
1111,685.29486
1112,436.43997
1113,272.66977
1114,221.08119
1115,21.064968
1116,-20.968622
1117,-22.286528
1118,-25.22502
1119,-15.922937
1120,-16.7835
1121,-60.183136
1122,-57.439114
1123,-38.47904
1124,-15.725487
1125,-36.408043
1126,-58.26941
1127,-47.885773
1128,-65.08894
1129,49.084175
1130,125.23046
1131,409.8663
1132,630.907
1133,716.6587
1134,733.8838
1135,604.01685
1136,426.71088
1137,279.13007
1138,217.38905
1139,60.094097
1140,45.78604
1141,45.745304
1142,31.284874
1143,19.966854
1144,44.10498
1145,-44.86272
1146,2.175511
1147,24.630693
1148,82.01612
1149,-4.2136245
1150,44.158936
1151,60.619385
1152,-22.28778
1153,-12.8704815
1154,96.53722
1155,394.69128
1156,592.27814
