,miraflores
1038,-82.35162
1039,-73.74075
1040,3.2025714
1041,93.93956
1042,81.68342
1043,144.39452
1044,137.12482
1045,130.19235
1046,192.77408
1047,178.07962
1048,110.572075
1049,126.56275
1050,141.32045
1051,154.92307
1052,60.308933
1053,46.799675
1054,604.9781
1055,489.9109
1056,204.77513
1057,108.90167
1058,-91.343346
1059,-54.33377
1060,-12.406393
1061,-7.6815486
1062,-83.71973
1063,-8.140793
1064,299.71616
1065,74.76977
1066,63.075363
1067,82.641846
1068,129.83897
1069,141.71825
1070,197.6033
1071,194.10196
1072,168.20665
1073,143.02048
1074,160.51105
1075,66.58493
1076,39.94577
1077,132.25003
1078,418.66278
1079,338.74225
1080,372.02448
1081,8.7782135
1082,37.236782
1083,64.48114
1084,-75.47617
1085,55.336025
1086,82.744
1087,164.02295
1088,195.31409
1089,72.05771
1090,118.71046
1091,81.06435
1092,74.02791
1093,68.07595
1094,106.8599
1095,143.39148
1096,179.40894
1097,163.56406
1098,141.12505
1099,71.09246
1100,77.22541
1101,111.28578
1102,593.50476
1103,394.6186
1104,46.917694
1105,-0.9266648
1106,12.644913
1107,14.65778
1108,31.951372
1109,47.45986
1110,-51.292225
1111,-48.580135
1112,-17.728212
1113,71.78129
1114,50.73227
1115,67.240166
1116,46.608093
1117,63.214436
1118,117.95164
1119,145.64264
1120,140.39746
1121,151.81967
1122,92.86641
1123,23.029978
1124,-45.393143
1125,11.092738
1126,382.86276
1127,238.27383
1128,-4.733174
1129,-12.779026
1130,9.0850115
1131,30.677435
1132,11.907431
1133,63.31462
1134,67.01722
1135,22.677477
1136,61.94632
1137,109.20759
1138,51.333046
1139,102.24434
1140,99.26477
1141,71.94974
1142,86.480446
1143,91.629875
1144,1.7615465
1145,56.47642
1146,-2.0466487
1147,52.703465
1148,12.909261
1149,-2.7554774
1150,-124.29384
1151,-49.368523
1152,-30.57358
1153,-24.495096
1154,7.453843
1155,-23.226992
1156,14.921631
1157,35.28417
1158,69.46963
1159,45.814686
