,mont-samagallo
739,18.563889
740,218.53546
741,476.37598
742,596.0738
743,631.5035
744,642.70557
745,592.3151
746,480.77103
747,170.69147
748,117.6633
749,11.959121
750,11.4847355
751,15.06713
752,-2.536642
753,-27.406418
754,-8.3426895
755,9.598164
756,-3.5120173
757,7.073857
758,-0.50193006
759,-14.688911
760,2.747127
761,29.590954
762,392.0405
763,136.11223
764,103.193756
765,234.91467
766,195.82582
767,282.213
768,292.0447
769,136.60706
770,67.85152
771,7.9727015
772,7.759482
773,8.815553
774,8.204491
775,2.532017
776,-1.3668942
777,10.055069
778,7.8020425
779,3.084167
780,6.2092085
781,3.07385
782,5.3495626
783,6.4954767
784,32.482822
785,-26.933126
786,115.237434
787,109.30405
788,158.28014
789,50.741478
790,50.920593
791,74.917
792,43.771645
793,67.02573
794,71.90126
795,7.5092444
796,0.044623744
797,-2.0446725
798,-10.397123
799,-11.622204
800,-2.425561
801,0.7162934
802,1.6959336
803,7.2244363
804,-1.6559649
805,-10.063366
806,-4.593963
807,-0.69912237
808,-26.891426
809,34.961582
810,114.6589
811,87.8992
812,104.32031
813,161.0887
814,143.01762
815,132.57379
816,104.81041
817,97.36212
818,59.005154
819,-0.6141524
820,-2.2226481
821,-1.5386553
822,-9.638744
823,-78.277245
824,3.3002894
825,-22.995888
826,3.2461896
827,-2.0726295
828,5.265955
829,-12.075576
830,-1.4771453
831,5.272212
832,8.174329
833,36.439472
834,154.63841
835,156.2059
836,183.397
837,422.69717
838,426.01898
839,465.0287
840,224.86383
841,180.47505
842,51.12247
843,40.327843
844,5.4449143
845,6.8473735
846,-2.372016
847,2.3179529
848,-4.2560873
849,0.22008759
850,-0.77654177
851,-0.04741236
852,22.124222
853,-1.7743181
854,3.954705
855,-5.633205
856,3.3626502
857,84.21009
858,126.37939
859,185.27441
860,187.30693
861,202.40887
862,279.77716
863,262.34827
864,185.90984
865,163.26543
866,115.22954
867,15.033089
868,0.77503586
869,-22.758568
870,-29.710417
871,18.0117
872,-5.6399894
873,-4.12251
874,-19.111788
875,2.7756402
876,-0.35875297
877,0.052974224
878,0.89869654
879,5.3217278
880,-5.7891674
881,37.42143
882,109.96627
883,290.3931
884,401.25186
885,494.09833
886,530.82477
887,522.57275
888,390.38693
889,191.45918
890,137.50381
891,9.154526
892,-2.2889428
893,-19.034182
894,-29.311466
895,-8.139158
896,-12.277144
897,-16.366339
898,-13.103428
899,-0.95347565
900,-7.936712
901,-2.4432359
902,7.5764556
903,1.7480259
904,-3.2359507
905,-4.956146
906,160.94608
907,316.5266
908,518.83527
909,422.76306
910,378.22583
911,327.05203
912,229.30693
913,70.88902
914,94.49834
915,-7.6667223
916,-8.761915
917,-3.2629178
918,-3.178093
919,-1.7276647
920,-16.36734
921,14.596444
922,4.566182
923,-4.3419275
924,0.709183
925,-7.9904957
926,10.371101
927,-10.421787
928,-1.488154
929,-3.524514
930,122.40701
931,375.03537
932,519.9106
933,525.61346
934,531.72284
935,476.28833
936,454.3483
937,134.46368
938,76.283615
939,4.7821274
940,-0.4876616
941,-26.337574
942,-24.045256
943,1.2198709
944,-12.58949
945,-23.297392
946,38.420406
947,-13.233913
948,-7.9571714
949,-2.6032877
950,2.6467931
951,1.9373215
952,17.429005
953,28.888842
954,126.193794
955,196.03918
956,177.23389
957,159.72952
958,150.0273
959,46.18505
960,45.32496
961,59.687798
962,74.838165
963,-2.009804
964,5.008658
965,7.5672636
966,-9.658052
967,-2.1122837
968,-13.309058
969,4.069584
970,-1.9855028
971,-2.894627
972,-6.3666844
973,-1.3085386
974,-6.8622584
975,-4.5291986
976,11.849885
