,labombilla
565,11.577463
566,8.9236145
567,8.9236145
568,-7.12799
569,-5.5517893
570,-5.5434113
571,19.453232
572,209.39062
573,415.56125
574,625.2291
575,667.8053
576,674.78546
577,645.49493
578,470.81686
579,298.9351
580,187.71358
581,6.793931
582,-4.3940334
583,5.813655
584,5.6492486
585,1.813069
586,2.3261218
587,1.6581317
588,-9.642212
589,-22.48581
590,-3.1298785
591,-0.45668495
592,-21.479815
593,-5.615624
594,2.6169882
595,21.804405
596,171.53062
597,401.06244
598,608.06885
599,644.12573
600,754.5312
601,640.7986
602,449.36603
603,282.87262
604,186.90446
605,24.029293
606,18.574247
607,20.398943
608,18.6033
609,-1.9958264
610,-15.952144
611,-34.551826
612,-54.145927
613,6.709992
614,-0.17782474
615,-5.845433
616,-12.127534
617,-10.025839
618,-20.766031
619,36.580475
620,244.56033
621,407.13303
622,746.1032
623,737.03235
624,744.08154
625,677.6421
626,487.15286
627,388.1741
628,309.11557
629,33.18377
630,55.725002
631,5.370151
632,37.75671
633,41.795975
634,61.195316
635,-40.949074
636,-18.947626
637,21.835835
638,46.45407
639,87.17594
640,43.90401
641,70.678535
642,76.972244
643,300.098
644,287.31638
645,413.62076
646,692.4682
647,699.4002
648,750.9805
649,708.57263
650,354.78207
651,242.82773
652,219.6789
653,74.76988
654,41.327427
655,26.937706
656,40.302547
657,24.004719
658,47.575737
659,69.44928
660,85.974625
661,38.38909
662,2.8816702
663,27.734587
664,109.84993
665,128.37637
666,98.31513
667,212.72845
668,386.1754
669,386.08234
670,707.4496
671,680.4535
672,682.11835
673,668.34406
674,403.21182
675,309.97653
676,268.63727
677,47.581177
678,48.420055
679,18.492584
680,16.49642
681,56.03094
682,17.546213
683,-52.84147
684,-61.141357
685,-64.9316
686,-12.669901
687,-13.833147
688,-7.9688015
689,-12.335879
690,-6.929735
691,69.62147
692,109.05875
693,363.1787
694,583.0653
695,749.6594
696,725.52527
697,620.1243
698,426.1785
699,262.20795
700,165.56477
701,14.16336
702,40.91358
703,34.975533
704,42.461456
705,32.904743
706,36.978813
707,-54.249966
708,-15.359762
709,11.171804
710,-9.899553
711,-33.7463
712,-33.03766
713,-18.206316
714,-1.3871238
715,43.630035
716,223.46346
717,479.34756
718,635.0961
719,665.24457
720,683.4158
721,631.8483
722,357.2941
723,253.96535
724,192.87134
725,28.806475
726,13.116616
727,19.526672
728,47.007248
729,55.600178
730,49.810673
731,-53.071457
732,0.5496289
733,-0.17854798
734,3.345398
735,3.345398
736,1.2994865
737,-34.145523
738,-8.520463
739,91.5104
740,293.44772
741,395.70535
742,568.58887
743,660.17975
744,727.4534
745,658.0573
746,427.76437
747,253.26445
748,150.96852
749,27.365435
750,0.14785913
751,-1.8867362
752,6.5569444
753,5.136731
754,-8.360374
755,9.590503
756,-22.015274
757,-14.425385
758,-19.901419
759,-23.150497
760,-18.506489
761,-32.1668
762,-38.689808
763,29.046787
764,201.97961
765,440.32687
766,620.3423
767,729.0769
768,706.7298
769,614.2608
770,394.83237
771,238.34064
772,169.59737
773,67.10696
774,23.364424
775,-12.98494
776,4.3141074
777,4.3141074
778,-8.763768
779,-19.600801
780,-13.670647
781,-20.059217
782,-15.953348
783,-22.961946
784,-12.512405
785,-10.608933
786,-15.5926
787,42.01561
788,215.82365
789,509.1799
790,658.53406
791,778.9832
792,784.53534
793,704.1663
794,495.9979
795,346.05273
796,231.33176
797,22.806917
798,16.84983
799,-12.528776
800,-14.28504
801,-14.272285
802,-3.6354797
803,-22.510954
804,-5.344407
805,-20.768162
806,-22.694555
807,-22.48061
808,-29.438652
809,-16.809738
810,-21.103413
811,76.82417
812,242.75685
813,548.4184
814,731.56396
815,730.16376
816,784.1668
817,671.89
818,417.87476
819,315.90042
820,188.44481
821,18.166847
822,21.826334
823,11.968686
824,11.647877
825,20.685614
826,7.053015
827,-17.511597
828,-8.590665
829,-35.83101
830,-7.0790415
831,-18.205902
832,-8.232424
833,-0.40154633
834,-3.5128853
835,38.11182
836,288.01056
837,519.32886
838,730.35516
839,783.8541
840,730.43225
841,665.84784
842,426.68326
843,303.78473
844,207.04503
845,67.90746
846,58.25715
847,12.423742
848,3.9892697
849,11.806844
850,-11.703945
851,-37.485245
852,-36.093346
853,-35.460453
854,-28.033705
855,-8.906076
856,-19.848238
857,-16.366684
858,-17.209972
859,40.27512
860,261.82416
861,495.68442
862,663.77045
863,823.2047
864,763.1533
865,781.6709
866,481.52206
867,292.9608
868,279.1698
869,76.35543
870,62.23171
871,103.319435
872,90.014854
873,74.51325
874,43.2934
875,14.891834
876,29.130474
877,13.325765
878,7.215313
879,10.904774
880,16.580557
881,-20.683416
882,13.457737
883,79.26199
884,205.23875
885,478.24988
886,672.64056
887,745.2736
888,753.22766
889,632.58624
890,458.83014
891,288.92264
892,241.2131
893,48.83618
894,77.543304
895,46.86345
896,24.058594
897,4.356228
898,6.180179
899,-22.3877
900,6.1049204
901,6.1049204
902,-12.877737
903,-4.198256
904,16.772057
905,18.638897
906,24.863121
907,210.0534
908,302.84152
909,499.10245
910,714.9603
911,758.8505
912,817.7609
913,716.629
914,545.13763
915,403.1742
916,275.8657
917,49.676857
918,23.261986
919,-9.806445
920,-3.4826884
