,eltime
1021,-0.34390834
1022,-2.2961187
1023,1.1686106
1024,9.519087
1025,27.217209
1026,151.81816
1027,382.33566
1028,582.56696
1029,844.8569
1030,888.2307
1031,812.8974
1032,676.0184
1033,262.11624
1034,268.95618
1035,177.94289
1036,65.43426
1037,-7.669026
1038,-5.048273
1039,-10.316674
1040,-10.572943
1041,-4.534375
1042,-4.3026843
1043,3.8474753
1044,-0.41735032
1045,-5.263131
1046,-4.932549
1047,-2.1610668
1048,7.4672956
1049,24.257626
1050,109.023224
1051,271.0715
1052,524.35095
1053,562.91156
1054,540.91705
1055,647.8255
1056,348.25443
1057,371.20566
1058,443.75485
1059,272.2156
1060,77.195366
1061,11.854322
1062,20.843603
1063,-2.8806233
1064,0.79303974
1065,0.79303974
1066,2.568183
1067,4.09988
1068,-3.7457483
1069,8.03215
1070,39.928032
1071,34.94687
1072,39.275906
1073,44.62772
1074,154.04424
1075,329.3196
1076,493.52896
1077,802.94977
1078,796.7473
1079,739.8625
1080,578.3225
1081,559.8679
1082,383.9745
1083,256.56503
1084,64.67572
1085,2.875282
1086,6.612826
1087,5.770526
1088,4.918589
1089,15.890915
1090,-0.097441725
1091,1.3764788
1092,-0.7807304
1093,2.3265755
1094,-1.3097715
1095,-17.668503
1096,-0.5111394
1097,-12.959022
1098,119.24834
1099,292.6573
1100,598.7123
1101,319.89285
1102,636.0002
1103,742.10547
1104,748.4616
1105,580.0052
1106,518.5378
1107,262.57333
1108,44.90027
1109,-6.958372
1110,-4.272071
1111,4.9371586
1112,4.3878794
1113,0.32086197
1114,-3.7457483
1115,-2.5555334
1116,-6.0527463
1117,-2.5707376
1118,-5.9460583
1119,-14.281988
1120,4.0549345
1121,46.555367
1122,40.800686
1123,99.45571
1124,323.7605
1125,353.33652
1126,432.18677
1127,714.12213
1128,571.35504
1129,574.57404
1130,215.36496
1131,107.72659
1132,38.724586
1133,19.116152
1134,-10.0041065
1135,8.31566
1136,8.31566
1137,-7.14701
1138,-0.52821237
1139,4.6461964
1140,-3.806479
1141,-6.71502
1142,-2.7760928
1143,-0.10109975
1144,0.18799102
1145,27.656096
1146,115.78908
1147,337.71332
1148,350.22397
1149,857.3097
1150,917.8951
1151,839.8665
1152,795.9976
1153,630.6039
1154,491.14175
1155,258.5358
1156,104.79932
1157,7.809647
1158,0.12722206
1159,-4.459962
1160,-6.8031654
1161,17.4892
1162,-13.726578
1163,10.005125
1164,2.275095
1165,-1.5081853
1166,-2.1801379
1167,-6.091082
1168,3.6808605
1169,23.717463
1170,133.85616
1171,391.50134
1172,648.2939
1173,906.6285
1174,923.10114
1175,936.3668
1176,783.656
1177,610.419
1178,498.90033
1179,358.5596
1180,96.142296
1181,27.320747
1182,14.683259
1183,24.739025
1184,20.010891
1185,9.181194
1186,-7.8283257
1187,-0.32521486
1188,-9.875884
1189,-1.3563912
1190,26.591787
1191,36.55809
1192,3.9030976
1193,33.450848
1194,152.24152
1195,370.12228
1196,566.2434
1197,620.2805
1198,776.81476
1199,532.2006
1200,479.97205
1201,482.89844
1202,382.23242
1203,214.2765
1204,78.94497
1205,36.83879
1206,36.363052
1207,25.787243
1208,12.742444
1209,3.8921082
1210,13.672579
1211,-2.2988195
1212,8.530892
1213,-2.7566724
1214,5.0807014
1215,-3.6023161
1216,4.76432
1217,13.746544
1218,118.32907
1219,340.90427
1220,513.0657
1221,594.17236
1222,685.21173
1223,663.2083
1224,430.71765
1225,357.5232
1226,289.07742
1227,214.49637
1228,77.69315
1229,13.755031
1230,3.4418333
1231,-0.27450576
1232,5.929019
1233,6.473011
1234,-2.1086986
1235,-3.4359512
1236,-0.21254992
1237,-2.9807122
1238,-1.7392023
1239,-0.5682135
1240,3.7294033
1241,26.613693
1242,132.21977
1243,260.87573
1244,387.18246
1245,703.82227
1246,866.89105
1247,770.4889
1248,751.43604
1249,653.3302
1250,413.99533
1251,204.46893
1252,101.76849
1253,14.125443
1254,-4.926466
1255,-7.1114826
1256,-2.7330654
1257,9.06879
1258,1.8248338
1259,-8.169743
1260,-4.646549
1261,-3.9109275
1262,-4.557108
1263,1.4323543
1264,-3.2831206
1265,18.096233
1266,86.17371
1267,323.82785
1268,392.7398
1269,733.51697
1270,638.72986
1271,573.68384
1272,552.3909
1273,387.66214
1274,388.4659
1275,320.97247
1276,71.478455
1277,25.462315
1278,22.99807
1279,12.043112
1280,24.165302
1281,11.989435
1282,-8.3152685
1283,3.7122042
1284,1.5526873
1285,-4.8927374
1286,-2.6528568
1287,-1.5187857
1288,9.15524
1289,23.244013
1290,89.25392
1291,249.64326
1292,441.89542
1293,460.32217
1294,429.47104
1295,535.19434
1296,629.0751
1297,467.29318
1298,465.4693
1299,303.35895
1300,76.64358
1301,-0.78157467
1302,-5.009022
1303,-2.4867172
1304,-6.3146663
1305,4.103202
1306,-2.2021291
1307,-4.2027555
1308,-4.400947
1309,-6.021636
1310,37.380688
1311,152.76263
1312,325.73398
1313,497.25217
1314,519.71387
1315,628.06555
1316,657.89374
1317,536.11005
1318,483.58548
1319,330.1093
1320,166.3973
1321,48.559708
1322,0.089185335
1323,-7.9698305
1324,-5.933576
1325,-8.292621
1326,-1.5268164
1327,-0.72026676
1328,-3.353753
1329,-3.363371
1330,-0.5086463
1331,5.353205
1332,-0.14660752
1333,32.56682
1334,29.236681
1335,124.95766
1336,317.27588
1337,471.10074
1338,623.7938
1339,622.94324
1340,583.9467
1341,602.8921
1342,622.65533
1343,399.98608
1344,234.82504
1345,129.08774
1346,16.223537
1347,23.244022
1348,24.681318
1349,21.550364
1350,21.550364
1351,-7.8299313
1352,-5.3809733
1353,1.1622661
1354,-2.9738548
1355,-16.251905
1356,-6.724818
1357,-4.8469944
1358,11.06266
1359,135.59714
1360,382.81137
1361,615.4422
1362,819.39856
1363,865.65314
1364,836.0276
1365,513.6454
1366,603.6576
1367,436.87564
1368,290.0252
1369,62.561832
1370,86.939926
1371,38.331062
1372,-8.035766
1373,6.4208183
1374,4.49837
1375,4.5984607
1376,-20.733257
1377,-7.3361473
1378,-13.921696
1379,-6.5080996
1380,-14.629987
1381,6.5515895
1382,40.930267
1383,189.21721
1384,488.4301
1385,621.3088
1386,727.3482
1387,948.01514
1388,933.7517
1389,821.9373
1390,635.6567
1391,435.0306
1392,308.64053
1393,144.16711
1394,5.2902594
1395,0.89680135
1396,1.4146568
1397,-26.446375
1398,0.81550974
1399,-2.5235357
1400,13.525402
1401,-15.859222
1402,-9.291079
1403,-2.3624911
1404,-0.0053940043
1405,1.1940031
1406,14.815964
1407,191.79288
1408,366.99182
1409,554.2653
1410,770.4071
1411,849.49896
1412,869.46094
1413,751.4561
1414,529.8937
1415,445.49414
1416,294.63312
1417,75.886765
1418,3.0828485
1419,19.334131
1420,2.8168166
1421,3.7439494
1422,1.268643
1423,3.2156487
1424,-7.372699
1425,-4.547518
1426,-9.286652
1427,-2.141523
1428,9.956896
1429,5.194861
1430,12.032179
1431,196.11053
1432,376.39038
1433,612.1591
1434,661.08795
1435,816.53815
1436,823.0799
1437,713.0129
1438,492.41992
1439,451.27975
1440,255.9388
1441,97.03008
1442,16.529137
1443,-22.892887
1444,-25.891146
1445,3.6887941
1446,-6.048913
1447,-0.9509098
1448,-7.536128
1449,3.9100487
1450,2.125462
1451,-3.3194098
1452,-2.382612
1453,14.469305
1454,100.64193
1455,236.50127
1456,408.09253
1457,674.8046
1458,706.075
1459,806.3467
1460,900.62836
1461,707.02026
1462,598.29486
1463,455.90588
1464,378.51175
1465,71.770386
1466,28.556875
1467,10.422893
1468,-4.4265018
1469,13.017026
1470,78.344055
1471,-1.5461738
1472,12.453351
1473,1.4254665
1474,-8.576428
1475,8.381475
1476,-0.13402024
1477,10.809332
1478,99.77141
1479,221.30547
1480,392.61542
1481,611.2277
1482,800.93195
1483,934.75653
1484,863.01135
1485,701.0576
1486,746.9798
1487,513.7803
1488,549.44104
1489,146.90941
1490,30.974268
1491,-6.8691163
1492,-2.8485851
1493,8.156008
1494,3.0087125
1495,-10.318371
1496,-0.4877197
1497,-9.948336
1498,-4.8430066
1499,-7.842261
1500,4.0953135
1501,-4.4965215
1502,167.06718
1503,253.73694
1504,437.96912
1505,564.7102
1506,806.783
1507,1041.6544
1508,1002.3459
1509,794.64264
1510,789.57794
1511,570.39575
1512,416.8971
1513,28.421219
1514,32.055737
1515,10.046749
1516,49.60911
1517,1.9780225
1518,11.621031
1519,-6.1156225
1520,-8.124915
1521,-5.667801
1522,4.8476415
1523,-16.471209
1524,-4.0636864
1525,7.190522
1526,99.83684
1527,203.67393
1528,471.74957
1529,712.6978
1530,940.6912
1531,964.59296
1532,854.28546
1533,743.0725
1534,656.6925
1535,560.4856
1536,509.33984
1537,210.67848
1538,77.15021
1539,62.53753
1540,-4.7115846
1541,-9.938771
1542,28.506563
1543,-0.16858509
1544,-3.3390806
1545,-7.456971
1546,-5.0498066
1547,-1.4480189
1548,3.7229204
1549,2.5572033
1550,99.87869
1551,262.8348
1552,485.3573
1553,629.17
1554,946.4244
1555,992.44464
1556,887.51843
1557,746.9047
1558,705.5369
1559,693.15894
1560,373.96625
1561,199.27199
1562,35.599457
1563,11.21576
1564,-17.175901
1565,2.6282506
1566,-18.775513
1567,21.824627
1568,26.359201
1569,-2.6611722
1570,2.8320765
1571,3.5682383
1572,-3.691038
1573,8.948362
1574,143.70204
1575,251.11539
1576,536.757
1577,660.8298
1578,779.92975
1579,826.8667
1580,907.8822
1581,849.53186
1582,668.6772
1583,491.35504
1584,315.752
1585,120.75819
1586,19.060478
1587,0.28213504
1588,3.8076105
1589,0.34982687
1590,0.6093403
1591,-1.6411258
1592,-3.0491102
1593,7.7132416
1594,4.1152334
1595,8.307417
1596,3.8581743
1597,27.474401
1598,61.721558
1599,178.39304
1600,343.86398
1601,284.44794
1602,623.5854
1603,755.6896
1604,938.27386
1605,802.5791
1606,694.9915
1607,424.2242
1608,265.18402
1609,103.636055
1610,6.014339
1611,20.874348
1612,-5.019792
1613,1.857225
1614,4.2663355
1615,6.0293274
1616,-3.5338302
1617,-2.4959774
1618,-0.5132175
1619,4.691204
1620,-1.6861433
1621,10.044572
1622,32.95959
1623,243.24254
1624,380.94974
1625,183.78523
1626,356.36322
1627,515.15985
1628,662.7709
1629,750.478
1630,801.76056
1631,765.42566
1632,724.90485
1633,308.81165
1634,276.59048
1635,88.925285
1636,16.73435
1637,44.87764
1638,-1.9826885
1639,-5.026546
1640,4.276886
1641,-3.1445346
1642,-1.2314676
1643,3.8054852
1644,0.9277788
1645,-1.3296648
1646,-3.0388083
1647,13.724135
1648,146.83412
1649,374.62784
1650,658.6338
1651,865.03174
1652,977.22864
1653,988.3505
1654,938.0744
1655,793.38007
1656,797.0882
1657,485.69736
1658,211.32649
1659,50.66813
1660,18.244022
1661,42.894363
1662,5.8639135
1663,1.1180288
1664,5.104437
1665,-7.077898
1666,-3.892497
1667,21.04753
1668,23.36262
1669,26.695139
1670,27.98686
1671,39.22346
1672,142.01785
1673,302.793
1674,595.16565
1675,703.4978
1676,750.98926
1677,831.8947
1678,867.23285
1679,735.4257
1680,683.78436
1681,375.50204
1682,199.06564
1683,82.28746
1684,3.7021062
1685,4.997027
1686,-10.676756
1687,-9.39867
1688,0.35287493
1689,4.944791
1690,5.03368
1691,-10.242971
1692,3.3714511
1693,1.7526623
1694,-2.3438118
1695,8.439944
1696,41.070248
1697,194.09178
1698,637.66205
1699,812.3635
1700,863.4352
1701,975.8444
1702,917.86884
1703,838.6271
1704,599.17194
1705,526.27277
1706,413.1367
1707,161.96881
1708,84.97286
1709,5.35731
1710,4.684476
1711,1.70724
1712,-0.59372634
1713,12.841518
1714,-2.5286734
1715,12.107223
1716,7.9381175
1717,19.768147
1718,3.9636357
1719,28.25255
1720,163.60535
1721,266.19766
1722,661.0274
1723,859.1675
1724,934.26685
1725,967.1529
1726,867.70105
1727,779.1693
1728,709.2019
1729,566.78925
1730,520.10297
1731,218.26938
1732,47.322033
1733,3.2944965
1734,8.887097
1735,5.541092
1736,-10.771541
1737,50.774017
1738,10.386624
1739,20.963905
1740,7.382949
1741,-3.53213
1742,20.092009
1743,44.869846
1744,129.88588
1745,235.08911
1746,631.3929
1747,990.2953
1748,1001.216
1749,1050.2128
1750,1029.7037
1751,886.70294
1752,777.92456
1753,705.1006
1754,486.27994
1755,85.62954
1756,122.42981
1757,37.70823
1758,0.52671236
1759,23.362127
1760,18.23998
1761,3.3038392
1762,-1.8546358
1763,7.4094944
1764,18.10754
1765,6.8382635
1766,7.8339324
1767,9.452278
1768,58.769684
1769,231.55688
