,sanantonio
680,-4.890477
681,33.703053
682,2.1950452
683,-2.9437368
684,3.4059632
685,2.4251952
686,-0.9894323
687,-4.7884827
688,-0.5021139
689,1.798956
690,0.16669947
691,29.54979
692,174.96664
693,256.74493
694,324.75076
695,336.1986
696,338.53894
697,315.88495
698,259.93402
699,159.34006
700,55.662476
701,25.08861
702,31.75587
703,15.959628
704,-9.890329
705,-8.35158
706,43.149734
707,-3.571978
708,-1.9112681
709,-4.702685
710,59.959614
711,-7.9555616
712,-1.9131409
713,132.94765
714,37.006065
715,144.88518
716,126.36664
717,167.66176
718,245.7794
719,177.16306
720,142.89685
721,155.69878
722,148.19543
723,66.20208
724,42.565075
725,-0.3900287
726,8.08744
727,0.5823748
728,-2.9808626
729,-1.3531939
730,-2.2805505
731,-2.0327418
732,4.268346
733,-1.6487092
734,-0.6858964
735,2.8257143
736,-0.20795521
737,-3.696696
738,-17.376106
739,37.11914
740,132.56097
741,307.34982
742,455.16406
743,373.20328
744,331.95334
745,369.83496
746,198.83952
747,108.048965
748,118.483536
749,17.637987
750,6.7038035
751,-5.850776
752,-8.255811
753,3.1253734
754,4.970956
755,-8.721997
756,-11.172309
757,-6.091956
758,6.3425813
759,-7.751747
760,-4.5012364
761,-4.9180675
762,-13.093753
763,20.57246
764,154.30817
765,325.1647
766,288.03674
767,392.4776
768,437.55167
769,393.40158
770,333.5568
771,169.317
772,41.018764
773,-2.7244582
774,-38.663578
775,12.312531
776,-8.027455
777,47.339134
778,41.197525
779,58.983395
780,104.161415
781,16.21079
782,107.889275
783,104.507706
784,66.24771
785,58.032085
786,76.366165
787,53.69341
788,212.34187
789,226.2943
790,310.16782
791,384.72644
792,372.04605
793,299.02646
794,350.11105
795,182.52925
796,39.07297
797,57.232876
798,55.392887
799,53.626186
800,51.926205
801,6.001908
802,53.74849
803,81.44378
804,89.15036
805,17.528538
806,48.6212
807,79.53807
808,82.021576
809,21.136278
810,15.036793
811,27.608204
812,155.92737
813,220.4848
814,256.56772
815,195.75783
816,150.628
817,190.55402
818,134.05151
819,63.412956
820,60.389618
821,3.041771
822,-9.005263
823,-6.2753057
824,-17.646976
825,10.878258
826,-3.5531447
827,-6.5201144
828,-0.12723723
829,-2.5378127
830,4.418621
831,-4.9050627
832,-4.3114533
833,-11.801447
834,-20.237024
835,28.777515
836,104.47037
837,125.59042
838,246.61197
839,328.9301
840,288.45154
841,152.0271
842,140.81241
843,180.5743
844,135.09973
845,10.140848
846,-16.136503
847,-4.476024
848,7.1518884
849,17.818531
850,7.7547865
851,-4.825376
852,3.8359494
853,4.320405
854,3.4467714
855,1.7179595
856,-5.0006657
857,2.4955645
858,-30.856241
859,18.18678
860,174.45158
861,224.88974
862,287.2007
863,317.39066
864,365.28586
865,295.26385
866,279.1456
867,194.07007
868,54.191917
869,-4.506734
870,-1.112214
871,2.4953966
872,-4.895049
873,-6.1249413
874,-4.6021223
875,-1.4338052
876,4.3645973
877,1.0329372
878,3.8614469
879,2.6779418
880,1.2740504
881,5.1605616
882,-1.9635969
883,16.206984
884,170.03139
885,170.19337
886,197.7415
887,205.41666
888,202.2117
889,194.6147
890,127.62396
891,83.35255
892,54.666767
893,0.33162344
894,-5.1479397
895,3.1847446
896,-8.960423
897,-4.185557
898,-4.221386
899,-1.439534
900,1.9529854
901,-4.9138136
902,-3.0252457
903,-3.0348637
904,1.4459773
905,7.657008
906,-11.337344
907,7.067149
908,176.8265
909,225.29759
910,171.24718
911,208.98698
912,164.35626
913,163.57607
914,171.21242
915,125.23508
916,83.57556
917,5.062047
918,-2.4876056
919,-8.804942
920,0.7761778
921,-12.36534
922,-5.115218
923,4.15105
924,0.99918467
925,-8.147493
926,-1.360901
927,-2.8867943
928,6.7713566
929,4.320861
930,-2.8012848
931,45.30825
932,67.83619
933,298.58136
934,337.62183
935,277.09802
936,323.67603
937,282.944
938,154.308
939,99.643585
940,62.57722
941,-9.437157
942,-0.34340817
943,-1.9507573
944,-2.3009222
945,5.3262677
946,1.3905377
947,-1.7776012
948,1.8194597
949,0.17782265
950,-2.5455036
951,3.6182306
952,6.175218
953,10.474325
954,6.4452076
955,20.083847
956,159.7574
957,231.84206
958,271.3771
959,232.6068
960,244.1875
961,232.94414
962,273.3312
963,128.56412
964,91.00843
965,7.331173
966,3.9484107
967,-15.68408
968,19.60617
969,-35.53533
970,-11.982508
971,-7.575349
972,7.648774
973,-2.3954763
974,-2.0402045
975,-3.1431558
976,4.41434
977,10.4554615
978,1.140439
979,22.70035
980,172.68391
981,200.74669
982,303.52338
983,284.09857
984,314.86115
985,281.5918
986,263.10184
987,126.84854
988,58.736923
989,-0.51225305
990,-13.759584
991,-3.7563136
992,-12.577269
993,0.29439116
994,-20.9337
995,-7.067426
996,-68.54195
997,-1.913468
998,97.16234
999,99.32693
1000,-0.14458601
1001,65.366035
1002,36.994648
1003,12.927221
1004,168.16359
1005,188.91617
1006,225.6032
1007,205.61876
1008,208.56992
1009,169.44044
1010,105.97353
1011,71.367355
1012,38.80351
1013,-9.01723
1014,-0.027019404
1015,-2.131174
1016,-8.209383
1017,-4.3873873
1018,-6.14193
1019,-5.262478
1020,-0.7812841
1021,-7.5941095
1022,-1.2224252
1023,14.765468
1024,1.7463251
1025,5.524449
1026,0.4006956
1027,18.182491
1028,145.42561
1029,174.01477
1030,147.30246
1031,244.40927
1032,185.85175
1033,160.18465
1034,160.12302
1035,95.555
1036,64.57969
1037,2.671296
1038,0.7706998
1039,9.301859
1040,44.453697
1041,-1.8838387
1042,30.107048
1043,-3.5510228
1044,9.698106
1045,-2.8501577
1046,1.5334102
1047,-7.443958
1048,-8.805268
1049,4.8401227
1050,2.8276978
1051,52.51097
1052,254.00331
1053,373.09177
1054,292.42316
1055,294.62683
1056,402.1557
1057,299.8278
1058,270.82907
1059,65.862114
1060,59.619743
1061,0.9672246
1062,-21.234528
1063,-18.182735
1064,-0.43502837
1065,10.170196
1066,15.029288
1067,-1.0105222
1068,-13.863066
1069,-2.9334266
1070,-1.8780481
1071,5.309205
1072,0.91911364
1073,12.5159445
1074,-3.4038298
1075,21.205603
1076,140.03215
1077,189.36568
1078,155.48962
1079,188.02417
1080,131.22923
1081,164.70473
1082,152.42899
1083,97.88359
1084,69.5423
1085,6.125336
1086,11.126417
1087,-5.584286
1088,-3.352009
1089,1.8410058
1090,10.9034605
1091,12.845723
1092,2.234724
1093,2.300141
1094,4.1777534
1095,1.5442895
1096,2.4551544
1097,-4.896293
1098,-5.1832643
1099,26.903328
1100,134.97327
1101,158.4888
1102,177.55432
1103,164.81847
1104,94.66958
1105,110.48882
1106,107.90893
1107,92.028305
1108,73.89243
1109,20.462488
1110,4.585797
1111,-7.92629
1112,-4.477733
1113,-9.726708
1114,-1.9976851
1115,-1.8514686
1116,1.937663
1117,0.92586666
1118,3.0039525
1119,5.046408
1120,3.7716193
1121,-3.2626297
1122,-4.6337123
1123,39.091965
1124,178.90746
1125,181.87843
1126,233.6652
1127,245.53111
1128,229.73087
1129,263.56573
1130,177.10014
1131,92.66083
1132,103.69166
1133,5.2291346
1134,1.8081485
1135,-1.9751525
1136,-13.295223
1137,-9.86796
1138,-5.275653
1139,-3.0887022
1140,-7.758195
1141,-12.79004
1142,5.529461
1143,6.27214
1144,5.924035
1145,2.0377836
1146,-18.704874
1147,35.4154
1148,156.29149
1149,196.1022
1150,309.20352
1151,274.9082
1152,279.74277
1153,139.04292
1154,202.58467
1155,103.13421
1156,134.84729
1157,21.783682
1158,-0.39236823
1159,-1.2477068
1160,-6.459429
1161,-2.9506419
1162,-12.290902
1163,-6.5717745
1164,-10.657274
1165,-4.8968945
1166,9.179094
1167,2.1305609
1168,4.9947205
1169,-11.623699
1170,-14.00371
1171,-12.918893
1172,164.48898
1173,206.68839
1174,207.19865
1175,197.76843
1176,188.81322
1177,235.21861
1178,277.66977
1179,86.851295
1180,56.031162
1181,10.549353
1182,7.2009234
1183,2.2715683
1184,2.5646377
1185,2.2046535
1186,-1.7616717
1187,-2.794807
1188,-2.7622545
1189,-0.69256586
1190,-6.972828
1191,1.8809038
1192,0.78125614
1193,5.1902905
1194,-6.994466
1195,66.56728
1196,199.5961
1197,263.07712
1198,322.2712
1199,269.24847
1200,229.52014
1201,204.78143
1202,155.86116
1203,132.36726
1204,101.73801
1205,63.762306
1206,2.8644934
1207,1.5404488
1208,-0.06488717
1209,-3.7372942
1210,0.5002777
1211,-3.5620754
1212,2.684798
1213,-5.685635
1214,-2.4701767
1215,-2.9613142
1216,2.0188537
1217,-2.383857
1218,-38.623936
1219,104.95451
1220,210.26205
1221,220.66371
1222,270.09467
1223,261.1418
1224,160.95792
1225,147.01343
1226,160.66344
1227,223.61894
1228,134.70499
1229,41.409946
1230,1.8273466
1231,-1.3492699
1232,-9.117409
1233,1.7596363
1234,-1.2152153
1235,2.6930327
1236,-0.8375467
1237,-8.053532
1238,7.91494
1239,-2.0371609
1240,-2.5261445
1241,12.5344095
1242,-0.052812062
1243,101.0004
1244,183.3747
1245,193.03064
1246,547.67
1247,647.9787
1248,759.4804
1249,473.24124
1250,431.404
1251,303.4407
1252,163.03682
1253,62.496967
1254,-10.45892
1255,-7.9550285
1256,-5.7939234
1257,-7.2156353
1258,-2.4834409
1259,0.9375604
1260,3.182139
1261,1.4777281
1262,0.5241108
1263,4.1476073
1264,11.348078
1265,9.479673
1266,7.586096
1267,58.593716
1268,188.6578
1269,243.65813
1270,363.5666
1271,548.006
1272,413.67203
1273,224.98569
1274,279.0699
1275,253.70244
1276,154.29755
1277,61.948803
1278,37.868618
1279,32.236794
1280,25.13225
1281,17.215237
1282,17.56467
1283,26.895868
1284,68.75514
1285,99.805916
1286,5.800775
1287,-21.052986
1288,32.741135
1289,38.374786
1290,-6.02672
1291,68.073074
1292,233.17122
1293,334.9215
1294,338.90546
1295,229.45094
1296,265.95648
1297,408.5665
1298,405.93018
1299,163.9265
1300,127.14611
1301,35.20997
1302,-2.294034
1303,-2.75385
1304,0.5967435
1305,-5.326949
1306,-1.219976
1307,2.654838
1308,5.663772
1309,-2.6775048
1310,-1.1879044
1311,-1.8967102
1312,-2.6729634
1313,0.68442994
1314,33.622986
1315,34.929028
1316,231.51619
1317,200.68848
1318,176.33356
1319,282.3261
1320,322.8888
1321,339.9578
1322,346.12912
1323,206.20152
1324,143.86012
1325,65.90052
1326,10.8952055
1327,39.970814
1328,-11.187216
1329,-18.23011
1330,-5.1164465
1331,-3.0233216
1332,-1.8684385
1333,31.701706
1334,30.234297
1335,64.38665
1336,34.072678
1337,38.496803
1338,37.574345
1339,69.623604
1340,242.05783
1341,453.64273
1342,305.219
1343,362.92645
1344,366.81207
1345,422.26572
1346,262.509
1347,198.45427
1348,119.05849
1349,38.530403
1350,3.5993264
1351,34.49845
1352,39.020817
1353,-24.68318
1354,47.145134
1355,31.097616
1356,116.553406
1357,112.99243
1358,76.078476
1359,15.676575
1360,26.854713
1361,30.406057
1362,-1.687055
1363,74.1637
1364,198.10995
1365,309.53552
1366,348.32364
1367,341.0306
1368,473.75116
1369,455.2602
1370,211.67834
1371,161.98701
1372,100.85005
1373,40.799084
1374,4.4999247
1375,-4.2128983
1376,-0.8324799
1377,-2.5841002
1378,1.1651205
1379,-0.07457482
1380,33.510704
1381,32.25614
1382,31.818693
1383,-2.3702145
1384,25.674864
1385,36.110962
1386,39.811253
1387,70.462425
1388,206.60873
1389,346.86273
1390,470.76773
1391,453.0496
1392,468.17072
1393,369.7631
1394,175.41243
1395,149.64581
1396,99.8545
1397,73.21612
1398,8.539941
1399,4.936436
1400,2.0383239
1401,2.6909175
1402,-2.7737353
1403,-5.3218274
1404,19.315338
1405,217.32893
1406,272.2813
1407,219.38303
1408,225.96538
1409,252.7318
1410,229.034
1411,248.70966
1412,382.4344
1413,359.21057
1414,398.2555
1415,444.29813
1416,421.45218
1417,353.2275
1418,323.85056
1419,250.63306
1420,248.83
1421,85.746704
1422,11.178364
1423,7.9750676
1424,0.89624417
1425,1.1246471
1426,-8.454205
1427,-15.772688
1428,-14.61002
1429,-12.081329
1430,-36.11053
1431,-51.467937
1432,191.45929
1433,199.37352
1434,227.77902
1435,287.287
1436,493.2207
1437,575.7123
1438,600.69745
1439,675.2263
1440,719.8627
1441,586.9835
1442,410.36554
1443,260.48245
1444,160.56363
1445,80.04223
1446,3.9601154
1447,-1.1225642
1448,16.06205
1449,11.70796
1450,-3.9814327
1451,15.960482
1452,-7.3276267
1453,-37.873425
1454,-4.053843
1455,7.6646905
1456,47.598484
1457,232.36359
1458,385.7324
1459,383.9629
1460,418.84116
1461,515.0292
1462,624.12036
1463,135.52083
1464,232.96402
1465,145.5536
1466,91.88413
1467,6.1224775
1468,23.52536
1469,16.447521
1470,29.9362
1471,28.691776
1472,-3.9189324
1473,4.066419
1474,3.3991466
1475,-4.410479
1476,-4.577374
1477,11.54728
1478,0.79145944
1479,12.50256
1480,67.36061
1481,230.33502
1482,240.25806
1483,65.10338
1484,284.2825
1485,372.4832
1486,622.4434
1487,670.8865
1488,426.48746
1489,594.4148
1490,537.26385
1491,398.61777
1492,241.84149
1493,80.99148
1494,-17.724142
1495,-5.093457
1496,20.91481
1497,29.312431
1498,24.91904
1499,-1.1520818
1500,8.153682
1501,3.21964
1502,11.630509
1503,13.342943
1504,-4.1583476
1505,26.10622
1506,34.8193
1507,58.70244
1508,222.08197
1509,254.06981
1510,315.91068
1511,327.05756
1512,323.80493
1513,310.0814
1514,290.39737
1515,219.68086
1516,117.803085
1517,51.376804
1518,20.04608
1519,24.693401
1520,26.57806
1521,22.281536
1522,92.25342
1523,89.01142
1524,23.404497
1525,82.37342
1526,85.86606
1527,78.42012
1528,68.80553
1529,86.792496
1530,95.0883
1531,127.7209
1532,168.81146
1533,297.96442
1534,382.66
