time,hum,wind,maxwind,winddir,rain,radiation,temp,Hour,Month
2020-09-17 20:00:00+00:00,89.83333333333333,0.0,17.7,296.1666666666667,0.0,0.0,17.599999999999998,20,9
2020-09-17 21:00:00+00:00,86.83333333333333,0.26666666666666666,17.7,225.5,0.0,0.0,17.5,21,9
2020-09-17 22:00:00+00:00,85.16666666666667,0.8000000000000002,17.7,170.33333333333334,0.0,0.0,17.616666666666667,22,9
2020-09-17 23:00:00+00:00,89.0,3.2,17.7,231.5,0.0,0.0,17.125,23,9
2020-09-18 00:00:00+00:00,87.16666666666667,3.733333333333334,13.166666666666666,119.66666666666667,0.0,0.0,17.233333333333334,0,9
2020-09-18 01:00:00+00:00,89.16666666666667,0.8000000000000002,14.5,140.66666666666666,0.0,0.0,16.71666666666667,1,9
2020-09-18 02:00:00+00:00,78.33333333333333,1.8666666666666665,14.5,80.66666666666667,0.0,0.0,17.033333333333335,2,9
2020-09-18 03:00:00+00:00,73.16666666666667,0.5333333333333333,14.5,150.16666666666666,0.0,0.0,17.216666666666665,3,9
2020-09-18 04:00:00+00:00,70.2,1.6,14.5,346.0,0.0,0.0,17.04,4,9
2020-09-18 05:00:00+00:00,78.33333333333333,0.0,14.5,76.0,0.0,0.0,16.683333333333334,5,9
2020-09-18 06:00:00+00:00,86.83333333333333,3.733333333333333,14.5,348.8333333333333,0.0,0.0,16.0,6,9
2020-09-18 07:00:00+00:00,89.5,4.833333333333333,14.5,290.1666666666667,0.0,38.333333333333336,16.150000000000002,7,9
2020-09-18 08:00:00+00:00,86.16666666666667,2.4,14.5,297.8333333333333,0.0,219.5,17.116666666666667,8,9
2020-09-18 09:00:00+00:00,84.33333333333333,2.6666666666666665,14.5,220.83333333333334,0.0,528.0,18.966666666666665,9,9
2020-09-18 10:00:00+00:00,78.66666666666667,7.516666666666667,25.433333333333334,143.33333333333334,0.0,689.0,21.616666666666664,10,9
2020-09-18 11:00:00+00:00,75.0,3.1999999999999997,25.7,96.16666666666667,0.0,776.6666666666666,22.983333333333334,11,9
2020-09-18 12:00:00+00:00,76.0,2.1333333333333333,25.7,251.83333333333334,0.0,593.5,22.3,12,9
2020-09-18 13:00:00+00:00,82.0,2.9499999999999997,25.7,248.66666666666666,0.0,314.1666666666667,20.650000000000002,13,9
2020-09-18 14:00:00+00:00,85.66666666666667,0.26666666666666666,25.7,170.83333333333334,0.0,174.16666666666666,19.583333333333332,14,9
2020-09-18 15:00:00+00:00,86.83333333333333,0.26666666666666666,25.7,197.16666666666666,0.0,162.16666666666666,19.433333333333334,15,9
2020-09-18 16:00:00+00:00,86.83333333333333,0.0,25.7,169.83333333333334,0.0,237.16666666666666,19.666666666666668,16,9
2020-09-18 17:00:00+00:00,83.83333333333333,1.8666666666666665,25.7,204.0,0.0,284.8333333333333,20.316666666666666,17,9
2020-09-18 18:00:00+00:00,82.85714285714286,0.2285714285714286,25.7,278.2857142857143,0.0,57.285714285714285,19.900000000000002,18,9
2020-09-18 19:00:00+00:00,87.5,0.26666666666666666,25.7,347.5,0.0,2.0,18.316666666666666,19,9
2020-09-18 20:00:00+00:00,89.83333333333333,0.0,27.333333333333332,348.8333333333333,0.0,0.0,17.45,20,9
2020-09-18 21:00:00+00:00,79.83333333333333,0.5333333333333333,30.600000000000005,189.33333333333334,0.0,0.0,17.266666666666666,21,9
2020-09-18 22:00:00+00:00,67.0,0.26666666666666666,30.600000000000005,300.3333333333333,0.0,0.0,18.5,22,9
2020-09-18 23:00:00+00:00,74.83333333333333,0.0,30.600000000000005,40.666666666666664,0.0,0.0,17.95,23,9
2020-09-19 00:00:00+00:00,82.66666666666667,0.0,8.883333333333333,251.33333333333334,0.0,0.0,17.066666666666666,0,9
2020-09-19 01:00:00+00:00,90.66666666666667,0.0,9.7,246.0,0.0,0.0,16.516666666666666,1,9
2020-09-19 02:00:00+00:00,92.33333333333333,1.0666666666666667,9.7,345.1666666666667,0.0,0.0,16.233333333333334,2,9
