,centrovis-cab
738,-20.356142
739,25.688877
740,198.28802
741,437.96066
742,528.84534
743,564.2572
744,589.55273
745,516.8121
746,380.55252
747,239.32146
748,184.75209
749,2.1623216
750,-3.2943003
751,-4.907136
752,-0.44970372
753,-5.7878523
754,-2.5158045
755,13.223969
756,0.67961496
757,4.2486677
758,2.105576
759,3.9674087
760,-1.8846622
761,-15.840864
762,10.4158535
763,12.293264
764,186.73509
765,368.20035
766,316.6549
767,448.671
768,497.20853
769,455.68982
770,408.58423
771,199.18411
772,135.30498
773,40.003994
774,-17.117855
775,-12.962211
776,-22.069218
777,-4.628796
778,6.5694375
779,-13.672833
780,-25.633024
781,-1.6633521
782,-13.013343
783,-16.666569
784,-19.023638
785,2.0184774
786,49.250988
787,27.805202
788,89.20332
789,278.2381
790,311.7054
791,360.04333
792,385.20984
793,453.24612
794,426.29214
795,189.84949
796,152.605
797,11.5455675
798,-9.30175
799,-4.4870324
800,-7.118993
801,-7.7478104
802,-8.064442
803,-0.8323806
804,-16.961544
805,0.75566465
806,0.7425909
807,-1.2244843
808,-5.973024
809,-6.331749
810,-10.943907
811,10.623356
812,138.05145
813,258.85275
814,448.66626
815,427.2856
816,331.04172
817,266.48862
818,225.4813
819,85.53418
820,106.430954
821,-3.3257213
822,-1.8932388
823,3.523091
824,0.45254156
825,-4.858906
826,-4.267919
827,-5.8489246
828,5.3588247
829,-3.556669
830,4.3274827
831,1.0531799
832,-0.9584488
833,1.0690922
834,-0.2695186
835,17.914127
836,197.22107
837,353.6927
838,525.10016
839,619.9014
840,610.7646
841,538.98016
842,411.6004
843,227.18289
844,222.81812
845,-17.562428
846,4.7497997
847,-1.0392147
848,7.5907183
849,9.501569
850,11.911892
851,8.880676
852,28.03424
853,5.566795
854,-6.77019
855,-1.3456024
856,3.8713167
857,-10.667011
858,6.1311827
859,37.15885
860,176.09943
861,325.25082
862,374.33643
863,446.75754
864,342.43048
865,291.49982
866,229.28795
867,171.69563
868,154.04959
869,34.97056
870,16.341042
871,-13.004512
872,-4.253671
873,3.8886173
874,1.3188456
875,-12.94156
876,-6.2446923
877,10.165041
878,-11.874996
879,-17.001183
880,-0.22840574
881,-7.402009
882,0.882466
883,12.117263
884,125.44205
885,282.23822
886,429.65958
887,380.5843
888,399.6047
889,340.8275
890,313.89545
891,182.21202
892,213.85425
893,45.912964
894,5.859552
895,5.9172945
896,5.306535
897,-15.427271
898,-1.293235
899,-0.53974646
900,-3.5072029
901,-0.97396404
902,-2.6170104
903,-0.8268717
904,5.410988
905,5.204446
906,-1.6203977
907,24.411451
908,144.746
909,244.24338
910,384.85712
911,497.778
912,466.76904
913,444.4729
914,212.89828
915,121.65408
916,138.94913
917,16.92066
918,-10.690733
919,0.96380335
920,-5.1539125
921,0.095004484
922,-7.992429
923,2.6491055
924,4.043411
925,4.6222196
926,1.2492282
927,6.3993998
928,-0.85679764
929,-2.655782
930,-5.985587
931,5.7742496
932,148.40471
933,312.49335
934,424.99786
935,427.03967
936,263.5343
937,353.6745
938,212.34439
939,189.71846
940,229.71013
941,65.96591
942,-13.240922
943,2.0439773
944,6.0964622
945,0.8708989
946,8.360067
947,2.0438666
948,-0.30192292
949,-1.1149442
950,4.656394
951,0.9421012
952,1.6300591
953,5.816911
954,-5.728488
955,32.646313
956,138.24345
957,245.64473
958,212.73056
959,294.44662
960,479.8577
961,320.62805
962,381.51617
963,169.72197
964,160.78787
965,15.325587
966,5.901471
967,-0.38706714
968,-1.5126542
969,4.5145764
970,4.6115456
971,-6.194169
972,4.1800904
973,7.03399
974,-1.2097517
975,18.071146
976,0.26910138
977,4.271223
978,11.439065
979,17.121374
980,156.00041
981,212.64474
982,182.71828
983,244.21146
984,265.16263
985,388.06332
986,392.1904
987,186.30988
988,111.61455
989,14.605393
990,-5.343216
991,-12.297647
992,-10.860645
993,12.98552
994,-11.547764
995,-12.64792
996,-5.3826623
997,-15.426404
998,-0.9561647
999,-2.4281282
1000,-10.13992
1001,6.4789405
1002,5.433202
1003,35.02425
1004,157.22858
1005,247.65376
1006,587.25494
1007,612.0039
1008,535.0572
1009,429.53186
1010,230.01718
1011,243.41493
1012,136.09557
1013,13.883343
1014,-2.0304573
1015,10.044308
1016,-4.84002
1017,0.43456343
1018,12.632227
1019,-4.985941
1020,3.5446796
1021,4.41828
1022,10.217804
1023,-9.50951
1024,8.614015
1025,-1.0976702
1026,-0.6275504
1027,13.311948
1028,128.85382
1029,243.60088
1030,385.34402
1031,383.92163
1032,443.2791
1033,395.50574
1034,212.65385
1035,162.87334
1036,117.85531
1037,26.868345
1038,-5.2099366
1039,-13.2316065
1040,-6.741089
1041,1.0099264
1042,1.8666278
1043,-1.2564498
1044,-4.3251905
1045,-3.1051877
1046,0.12112709
1047,0.12112709
1048,0.58164275
1049,2.6844587
1050,8.208226
1051,64.56041
1052,216.55202
1053,202.03618
1054,177.99422
1055,231.65866
1056,257.9644
1057,356.957
1058,398.49384
1059,294.0712
1060,337.70963
1061,73.42863
1062,49.49675
1063,43.136826
1064,49.788113
1065,58.766636
1066,49.45184
1067,-0.45258027
1068,5.5625515
1069,-3.2767746
1070,-23.499817
1071,8.437325
1072,4.8104644
1073,4.5341253
1074,-13.677708
1075,35.52068
1076,123.46238
1077,205.52612
1078,460.73306
1079,490.15244
1080,626.7571
1081,242.71867
1082,163.9976
1083,137.42882
1084,84.50919
1085,-23.239222
1086,-11.771524
1087,6.994745
1088,-2.3140018
1089,-2.4581556
1090,-5.169572
1091,-5.006637
1092,-0.8627967
1093,-3.2767746
1094,2.7228956
1095,-0.658743
1096,3.861565
1097,-14.202422
1098,-8.881641
1099,2.744364
1100,171.33887
1101,148.19424
1102,448.68362
1103,389.85526
1104,463.70508
1105,393.13962
1106,260.12402
1107,200.2066
1108,150.22612
1109,12.385288
1110,-4.621437
1111,7.9292855
1112,13.591376
1113,-1.1589477
1114,-5.0044622
1115,1.7340728
1116,-8.714624
1117,2.2709823
1118,6.2791443
1119,0.3578416
1120,4.211976
1121,7.8050957
1122,1.6318326
1123,13.5870495
1124,159.13603
1125,267.41733
1126,397.9263
1127,340.1439
1128,344.67984
1129,166.65427
1130,106.51677
1131,151.56786
1132,110.79938
1133,-7.998515
1134,-12.335845
1135,10.592181
1136,15.355627
1137,4.597962
1138,14.252168
1139,-5.4422717
1140,7.184327
1141,5.125851
1142,4.0211396
1143,-2.6170104
1144,5.410988
1145,9.915901
1146,-9.69988
1147,5.7742496
1148,138.5653
1149,164.11555
1150,383.9913
1151,636.144
1152,546.8975
1153,320.96106
1154,162.30022
1155,89.620674
1156,121.81133
1157,-5.6172175
1158,-11.352137
1159,-22.29009
1160,-1.4903587
1161,-1.1000905
1162,1.4080322
1163,6.175679
1164,0.3885363
1165,-1.610712
1166,-1.2682196
1167,5.4291906
1168,2.1248186
1169,6.9127207
1170,-3.3593907
1171,17.193224
1172,158.02245
1173,497.7139
1174,586.00104
1175,352.42963
1176,665.21326
1177,604.3923
1178,523.7599
1179,377.9334
1180,223.05501
1181,43.03775
1182,4.1667137
1183,14.974216
1184,1.9200876
1185,-2.6552227
1186,-0.18825892
1187,4.5146937
1188,0.27937788
1189,-6.9788322
1190,-0.23987544
1191,-1.1636055
1192,-0.07065178
1193,8.066823
1194,0.81602305
1195,32.168827
1196,166.02354
1197,307.25748
1198,372.7176
1199,551.5822
1200,269.46634
1201,235.20154
1202,226.62453
1203,192.71237
1204,102.51321
1205,23.358128
1206,2.971577
1207,-2.3518243
1208,-0.2286636
1209,-0.2286636
1210,0.7423981
1211,-2.8497455
1212,-1.8126506
1213,-3.5861719
1214,1.0964191
1215,4.9745345
1216,0.4048736
1217,3.2767437
1218,-9.981176
1219,53.85671
1220,118.35746
1221,210.52106
1222,660.5599
1223,536.7651
1224,786.6043
1225,522.1094
1226,292.98904
1227,258.26996
1228,269.3075
1229,84.18653
1230,-3.0299668
1231,-4.204259
1232,1.8864385
1233,-2.8743556
1234,-4.66877
1235,2.7128906
1236,3.0969234
1237,-0.86862403
1238,-0.27346528
1239,-0.87198454
1240,1.5235338
1241,5.892931
1242,-7.8855424
1243,36.99798
1244,195.80606
1245,339.56635
1246,617.87787
1247,804.4851
1248,742.75854
1249,640.9433
1250,464.44507
1251,314.04065
1252,183.18881
1253,58.898293
1254,4.961492
1255,-1.3956661
1256,-1.5514537
1257,-6.3172817
1258,0.04860179
1259,-4.4258537
1260,4.25474
1261,5.2518992
1262,-0.27346528
1263,1.8657956
1264,-3.299801
1265,1.9940581
1266,-6.2612267
1267,55.096134
1268,140.14879
1269,348.34656
1270,645.3725
1271,647.3379
1272,767.29114
1273,670.254
1274,534.5284
1275,504.94095
1276,330.13724
1277,84.42782
1278,4.680721
1279,-5.4403057
1280,-4.336799
1281,-20.866678
1282,-2.8637547
1283,0.07400708
1284,18.50815
1285,-4.2159123
1286,2.876423
1287,-13.481858
1288,-3.774557
1289,1.551205
1290,-2.563819
1291,67.5602
1292,283.87863
1293,556.6678
1294,631.9445
1295,732.71625
1296,636.6011
1297,603.5208
1298,456.91183
1299,351.29736
1300,212.1116
1301,65.717514
1302,20.09283
1303,-14.334406
1304,-15.109905
1305,-8.003636
1306,-1.3652769
1307,-3.4132411
1308,2.8485317
1309,5.438042
1310,5.3794584
1311,-0.6155322
1312,0.91113013
1313,7.483696
1314,-1.1339992
1315,95.13461
1316,324.36707
1317,448.19736
1318,710.3395
1319,706.94763
1320,639.03235
1321,682.00226
1322,495.92322
1323,409.76477
1324,240.6246
1325,75.055695
1326,7.300336
1327,1.9901689
1328,1.517921
1329,1.6818842
1330,0.81971484
1331,19.582563
1332,-1.9001638
1333,-2.1725113
1334,-4.465014
1335,-0.4643312
1336,-7.2130337
1337,-2.9235141
1338,2.275906
1339,46.7717
1340,275.4144
1341,567.1516
1342,564.05383
1343,706.9788
1344,713.31177
1345,684.6176
1346,526.0907
1347,410.0115
1348,325.53394
1349,88.926384
1350,3.833262
1351,-3.884628
1352,-10.302896
1353,-3.940169
1354,-0.5649502
1355,-0.6247634
1356,0.9460778
1357,-2.342572
1358,0.12592942
1359,-11.900756
1360,-1.9980029
1361,4.07147
1362,6.861484
1363,55.713802
1364,291.53653
1365,561.9709
1366,644.07794
1367,697.9419
1368,692.3719
1369,576.6574
1370,509.51544
1371,351.0357
1372,250.27634
1373,88.217384
1374,4.3359065
1375,-5.7000303
1376,-4.0419564
1377,3.8168554
1378,-1.4834864
1379,2.9960356
1380,-2.4925458
1381,2.3709443
1382,3.5168176
1383,3.062045
1384,4.698922
1385,2.6724603
1386,-0.86798316
1387,43.26815
1388,132.22871
1389,407.5717
1390,505.7117
1391,555.45526
1392,331.56287
1393,267.28772
1394,146.98935
1395,175.11383
1396,241.45802
1397,67.06343
1398,-3.7128482
1399,-8.840176
1400,0.24154925
1401,6.1159863
1402,6.8733244
1403,-2.8765786
1404,-2.508642
1405,-6.2647085
1406,1.8550062
1407,1.1663923
1408,1.414047
1409,7.332136
1410,1.2228494
1411,27.795492
1412,191.64812
1413,370.83664
1414,336.97473
1415,242.45398
1416,591.6199
1417,483.10336
1418,521.75134
1419,400.37405
1420,231.37808
1421,98.28044
1422,19.838724
1423,1.7848176
1424,3.3195827
1425,-0.70910996
1426,-4.380554
1427,-5.806856
1428,-22.341377
1429,-52.594685
1430,189.25137
1431,227.97078
1432,226.14406
1433,216.90573
1434,226.06836
1435,248.18658
1436,337.60498
1437,393.52234
1438,376.89536
1439,463.14236
1440,495.47693
1441,333.38614
1442,346.30136
1443,249.64537
1444,139.27452
1445,76.557724
1446,21.599327
1447,19.68611
1448,22.748074
1449,13.617896
1450,8.836034
1451,-25.306168
1452,4.7437525
1453,-45.89088
1454,-40.457355
1455,-70.77052
1456,198.31905
1457,29.195517
1458,-18.339529
1459,-3.1003916
