,balsa-adeyaham
1722,936.83014
1723,942.0881
1724,910.0265
1725,875.00397
1726,766.1545
1727,658.24274
1728,367.79718
1729,144.6654
1730,21.179865
1731,-16.900797
1732,75.97873
1733,26.551764
1734,21.503374
1735,45.743645
1736,57.35914
1737,55.867744
1738,24.686602
1739,81.85235
1740,63.448063
1741,26.339779
1742,111.07015
1743,331.0655
1744,545.29095
1745,754.4802
1746,908.9822
1747,931.07294
1748,905.44434
1749,865.64716
1750,789.0204
1751,682.0267
1752,447.5551
1753,142.66884
1754,102.34036
1755,46.057526
1756,43.739525
1757,50.99188
1758,84.81339
1759,55.276226
1760,31.277845
1761,51.683086
1762,90.36039
1763,34.617928
1764,34.97868
1765,66.808846
1766,111.14682
1767,364.45633
1768,661.08685
1769,766.2775
1770,785.85455
1771,978.88574
1772,915.16064
1773,858.3687
1774,835.35974
1775,687.75476
1776,509.66852
1777,154.91779
1778,89.14782
1779,0.9543675
1780,50.981876
1781,71.307976
1782,49.80785
1783,29.60083
1784,49.43856
1785,48.151722
1786,60.182545
1787,11.194455
1788,10.829483
1789,34.045555
1790,115.45961
1791,338.98013
1792,378.4103
1793,643.49243
1794,869.19604
1795,899.5694
1796,925.05206
1797,865.39374
1798,716.1297
1799,610.6908
1800,437.17734
1801,167.7325
1802,73.152435
1803,60.270042
1804,69.90724
1805,24.733835
1806,48.352913
1807,55.61347
1808,86.277145
1809,30.98225
1810,49.786957
1811,63.700977
1812,49.12203
1813,95.98616
1814,122.179855
1815,337.881
1816,494.29016
1817,658.5851
1818,753.9783
1819,679.6083
1820,808.6848
1821,537.2896
1822,438.4469
1823,431.34207
1824,366.15063
1825,130.32579
1826,144.38779
1827,23.517689
1828,74.3862
1829,37.38808
1830,-3.7557707
1831,64.08165
1832,33.300545
1833,46.011913
1834,22.597486
1835,5.239382
1836,38.402515
1837,79.63292
1838,102.03245
1839,225.33388
1840,510.7681
1841,801.7884
1842,876.8795
1843,655.5871
1844,652.3271
1845,647.56726
1846,813.8944
1847,702.6371
1848,440.35498
1849,91.264984
1850,87.93105
1851,117.28332
1852,28.28506
1853,38.42252
1854,102.812645
1855,31.334044
1856,52.1436
1857,43.68262
1858,61.630833
1859,13.437062
