,helipuerto
1038,135.27827
1039,48.079517
1040,67.61224
1041,75.19547
1042,69.70557
1043,32.56529
1044,67.49404
1045,38.445206
1046,31.353437
1047,-13.213609
1048,-11.067409
1049,3.6088514
1050,14.2593355
1051,79.19081
1052,132.19344
1053,483.42355
1054,607.2766
1055,681.77356
1056,771.1332
1057,814.6873
1058,711.9355
1059,588.7267
1060,497.85446
1061,358.61517
1062,155.2573
1063,59.564796
1064,44.06016
1065,27.153606
1066,20.469637
1067,86.966125
1068,-2.9031239
1069,-17.961084
1070,1.668216
1071,9.925892
1072,-8.721869
1073,7.953986
1074,9.2189865
1075,9.119765
1076,58.226562
1077,461.06433
1078,540.23956
1079,705.4211
1080,745.70184
1081,766.54895
1082,728.40936
1083,513.43945
1084,451.82794
1085,428.0686
1086,178.45598
1087,65.25746
1088,17.069647
1089,9.591591
1090,11.065114
1091,-9.336925
1092,-3.2936091
1093,-9.919556
1094,-0.31891462
1095,27.07077
1096,-26.606524
1097,-4.4402733
1098,13.698931
1099,18.35173
1100,34.546818
1101,429.7001
1102,598.9202
1103,671.20953
1104,673.8779
1105,767.3978
1106,719.94495
1107,574.87665
1108,480.45847
1109,371.58966
1110,120.30784
1111,61.834312
1112,-11.990496
1113,20.925163
1114,-33.36283
1115,16.344505
1116,12.5904665
1117,9.428424
1118,2.2428703
1119,18.912123
1120,2.6877756
1121,1.9516907
1122,7.18701
1123,21.984661
1124,57.889637
1125,321.81003
1126,626.2377
1127,717.7736
1128,804.24585
1129,848.0678
1130,704.62
1131,538.8437
1132,459.90817
1133,342.39795
1134,131.12863
1135,66.35241
1136,47.715908
1137,-0.45055845
1138,13.0105505
1139,12.750374
1140,4.0425067
1141,-7.5353727
1142,0.35107037
1143,-5.605034
1144,1.0776591
1145,1.1921446
1146,9.796849
1147,6.676118
1148,55.290512
1149,389.97244
1150,562.13196
1151,646.5869
1152,760.2063
1153,761.8126
1154,644.00433
1155,426.83435
1156,398.15814
1157,310.5808
1158,94.21994
1159,-2.019839
1160,27.338066
1161,27.655209
1162,-12.959119
1163,8.766377
1164,-2.7761369
1165,-2.717942
1166,-3.8049703
1167,2.583067
1168,-4.642535
1169,9.341157
1170,-6.999383
1171,31.127834
1172,53.98905
1173,340.7375
1174,530.2754
1175,697.18207
1176,770.10236
1177,796.2704
1178,693.1671
1179,599.6657
1180,492.94955
1181,365.62155
1182,161.17165
1183,52.30166
1184,66.46739
1185,69.91445
1186,67.95395
1187,59.531277
1188,13.253983
1189,25.572054
1190,-23.533106
1191,-28.54983
1192,-88.58924
1193,-25.39635
1194,-20.418991
1195,-76.7575
1196,-14.652244
1197,216.8192
1198,459.53223
1199,535.8234
1200,648.2694
1201,805.9299
1202,637.0148
1203,541.37695
1204,379.0704
1205,307.22284
1206,66.02142
1207,37.212242
1208,-3.1629844
1209,17.007841
1210,20.659891
1211,29.956163
1212,39.546238
1213,-5.9240074
1214,-22.527266
1215,-3.5795588
1216,12.752701
1217,-16.632961
1218,-23.528782
1219,-85.373215
1220,56.10779
1221,176.84811
1222,406.19073
1223,341.15613
1224,376.93475
1225,424.85068
1226,439.7183
1227,350.21677
1228,234.10805
1229,148.89166
1230,86.5206
1231,-3.7476404
1232,-27.39516
1233,-18.647007
1234,-7.322822
1235,25.507221
1236,11.8307085
1237,10.637505
1238,0.3159474
1239,25.274445
1240,-6.845642
1241,-6.4483852
1242,35.73778
1243,-32.11629
1244,55.392216
1245,-5.639556
1246,64.69088
1247,100.342575
1248,440.29382
1249,492.57004
1250,515.49023
1251,520.9962
1252,457.72104
1253,310.8539
1254,72.50819
1255,37.828175
1256,-6.460781
1257,-4.957718
1258,28.561327
1259,-3.284373
1260,8.838729
1261,3.2790444
1262,-1.3497238
1263,-4.377535
