,bodeganorte
557,245.80756
558,378.32965
559,538.59467
560,638.8881
561,654.1216
562,624.89856
563,492.10428
564,323.326
565,208.88902
566,14.1262045
567,-9.738829
568,-1.2074205
569,52.068466
570,9.251499
571,12.712413
572,-0.6252375
573,-5.1676307
574,-0.3085709
575,-5.558758
576,-5.4051075
577,-4.5484123
578,57.805225
579,258.66003
580,288.4863
581,513.06
582,567.0745
583,688.5393
584,562.1878
585,426.30185
586,283.90494
587,183.32964
588,14.578139
589,0.3363886
590,1.1144611
591,-3.1744926
592,-14.007248
593,-3.3831525
594,-2.4346004
595,-2.5991864
596,0.34846523
597,-6.883046
598,4.4661374
599,-10.259292
600,14.975756
601,142.7569
602,373.9107
603,540.67633
604,238.47922
605,468.60922
606,278.05197
607,420.0806
608,312.187
609,341.81995
610,5.2733903
611,-4.25997
612,-1.4781766
613,-8.88378
614,-0.6433118
615,-3.6219695
616,0.49854136
617,-5.990227
618,-13.837035
619,-2.6721504
620,6.789655
621,-0.76919
622,257.16705
623,241.73332
624,502.0655
625,314.0882
626,278.77097
627,214.23242
628,46.180927
629,81.37034
630,5.9642444
631,-5.292432
632,-10.546522
633,-5.668221
634,0.6672581
635,1.9653437
636,-3.1001043
637,0.91136074
638,-5.8411646
639,-4.752192
640,-0.78002614
641,41.51939
642,147.16318
643,388.622
644,507.0648
645,562.01263
646,627.65314
647,490.5513
648,453.71362
649,318.29904
650,148.2747
651,24.373997
652,5.703117
653,25.789438
654,-0.8921129
655,6.590524
656,0.44850698
657,6.2394032
658,4.405174
659,4.229585
660,2.4004598
661,6.769517
662,-2.042531
663,159.10011
664,301.71805
665,450.3636
666,442.59604
667,653.3622
668,545.3656
669,431.9716
670,272.43927
671,172.57642
672,23.915314
673,5.3512897
674,8.187835
675,5.045433
676,1.6456598
677,1.564558
678,-2.3767023
679,-5.1476674
680,-4.839007
681,-7.20619
682,-2.9776797
683,-4.8226385
684,332.0566
685,242.9628
686,318.9572
687,23.960499
688,-19.918781
689,-17.652647
690,8.604692
691,2.5390542
692,3.7893095
693,4.2418647
694,0.22439015
695,0.11078555
696,1.6556889
697,5.237899
698,4.6127095
699,29.91835
700,121.20582
701,177.80511
702,378.8959
703,362.24234
704,328.69064
705,268.79883
706,154.86299
707,211.03835
708,165.86101
709,35.08632
710,5.6605754
711,2.995727
712,-21.514141
713,-7.240813
714,-1.2051529
715,-5.2377763
716,0.34905306
717,-4.709901
718,-9.25438
719,-3.548553
720,6.9026294
721,12.677057
722,145.83853
723,377.17477
724,509.49585
725,503.50507
726,676.5642
727,458.12646
728,465.47894
729,339.36084
730,229.7798
731,57.354237
