,balsa-laguna
831,254.33052
832,400.88977
833,316.7724
834,385.61417
835,252.79301
836,413.34225
837,230.97514
838,139.94135
839,-23.846922
840,-15.699043
841,-3.4355881
842,12.729958
843,19.281406
844,2.8659441
845,-7.5504913
846,-29.683046
847,-2.0331545
848,-6.742377
849,-7.411642
850,-14.459831
851,2.4833167
852,1.4294952
853,-2.4172394
854,8.804702
855,276.6275
856,436.61008
857,355.4808
858,478.12482
859,569.7594
860,399.6593
861,423.13055
862,70.28533
863,45.701694
864,-2.8834784
865,0.5165724
866,6.891324
867,-3.8255627
868,-19.677681
869,-7.1262417
870,2.740891
871,-8.458058
872,2.4037578
873,-0.37552676
874,3.7056367
875,20.875359
876,10.632352
877,-4.838891
878,37.353615
879,142.804
880,104.42823
881,100.556885
882,135.10822
883,214.72856
884,210.03825
885,162.18456
886,103.15006
887,114.87987
888,12.766517
889,4.2370114
890,-3.0631037
891,-3.5835316
892,13.404402
893,12.866307
894,4.234019
895,1.5809908
896,0.5780145
897,5.9908695
898,2.2861955
899,-0.71262866
900,5.909902
901,0.6332722
902,33.413097
903,201.37857
904,249.61658
905,331.38766
906,473.65488
907,391.8823
908,465.09662
909,246.04927
910,262.28094
911,102.36625
912,8.921062
913,1.9801372
914,-0.82055324
915,-12.407864
916,-1.7518847
917,3.0907795
918,0.5247896
919,-6.6453686
920,2.9840417
921,7.0016103
922,-28.70628
923,3.477216
924,0.5643839
925,-26.54961
926,13.348887
927,205.18939
928,218.97035
929,287.01132
930,334.8553
931,332.30447
932,335.7515
933,194.63235
934,114.767105
935,86.07875
936,6.4184766
937,0.077418506
938,4.6643353
939,-4.0895267
940,-1.7523651
941,-2.0734327
942,2.8015244
943,3.814731
944,5.456411
945,1.0397975
946,3.2040436
947,-1.1278894
948,-0.21380115
949,-0.7987979
950,35.24041
951,153.61734
952,89.17885
953,194.32538
954,213.67764
955,168.41827
956,159.80759
957,129.47757
958,99.87511
959,87.0709
960,15.933047
961,4.863653
962,4.644136
963,4.1667185
964,3.9265738
965,3.9265738
966,-0.766079
967,-0.87889427
968,-1.3684126
969,-2.8107915
970,7.44615
971,-1.8558868
972,6.4766736
973,43.773174
974,284.3774
975,486.5135
976,424.4121
977,276.5097
978,159.50879
979,64.49545
980,6.4032187
981,-13.407356
982,42.926582
983,10.51219
984,0.50148034
985,-8.934478
986,-5.631713
987,-6.991589
988,1.3940479
989,2.7884448
990,2.7592068
991,2.1072617
992,-0.09289061
993,2.7248116
