,mont-picocruz
735,-17.15627
736,-47.087715
737,-20.623102
738,5.2623186
739,27.83386
740,134.75963
741,478.1262
742,558.8501
743,570.32697
744,636.2661
745,807.4342
746,712.76935
747,673.81665
748,569.0855
749,367.9504
750,98.80073
751,-6.643859
752,7.887938
753,10.276291
754,10.314617
755,-4.061455
756,-1.0722823
757,-25.672802
758,13.472074
759,-10.411744
760,-0.87623394
761,-1.5173157
762,2.3000388
763,14.570436
764,178.68163
765,321.92844
766,588.68274
767,608.6161
768,641.18585
769,666.8637
770,597.8546
771,494.33563
772,372.1642
773,234.66219
774,118.04929
775,81.97187
776,35.30381
777,-86.96277
778,-91.37042
779,-80.07184
780,-112.027054
781,-107.25707
782,-105.410866
783,-67.251
784,2.8312302
785,-105.77175
786,-92.77997
787,74.18078
788,146.93834
789,251.01115
790,470.07147
791,506.9402
792,512.95044
793,515.5913
794,616.26575
795,518.3159
796,363.7184
797,225.07423
798,95.859276
799,42.882713
800,40.78296
801,32.63256
802,20.518103
803,16.662983
804,-8.5054035
805,-72.54259
806,-67.09165
807,-0.010532647
808,-18.028275
809,-4.128675
810,29.470934
811,46.701736
812,149.66936
813,217.42827
814,416.74332
815,598.05865
816,670.3418
817,679.2665
818,591.1935
819,513.3951
820,340.14856
821,269.33914
822,74.662964
823,65.784355
824,44.19804
825,55.068806
826,44.392223
827,31.353249
828,6.703237
829,-64.33761
830,-70.89927
831,-69.351746
832,18.076668
833,-2.0118358
834,21.221508
835,47.754715
836,177.83905
837,395.23056
838,469.86984
839,563.5384
840,783.70654
841,631.01306
842,780.1589
843,669.18585
844,411.9928
845,394.5044
846,58.69515
847,6.272324
848,-25.444324
849,-9.604704
850,24.283503
851,-30.854553
852,-3.2869072
853,2.8598366
854,-15.735255
855,-30.334942
856,-24.69479
857,15.644629
858,-6.0561485
859,38.503887
860,164.53932
861,475.60965
862,524.1342
863,655.5625
864,788.25214
865,745.1757
866,740.54803
867,696.6219
868,463.57938
869,413.10788
870,30.960705
871,-6.7881904
872,53.653225
873,53.479454
874,59.81376
875,46.231808
876,15.689927
877,23.415741
878,6.50911
879,20.445835
880,14.3138
881,10.5375395
882,-1.7605017
883,48.639427
884,171.13591
885,452.52512
886,542.0706
887,692.9173
888,835.9612
889,840.08496
890,745.12573
891,695.85406
892,566.07825
893,401.76645
894,113.50264
895,99.79421
896,75.46242
897,74.44604
898,-28.313843
899,-80.49975
900,-65.39649
901,-1.6475416
902,20.974937
903,1.2912904
904,14.158822
905,-1.27061
906,26.09561
907,57.343193
908,195.96385
909,430.49454
910,523.11597
911,599.9264
912,747.2649
913,824.955
914,725.0234
915,642.83453
916,521.1253
917,226.2493
918,113.70376
919,61.89467
920,47.59388
921,36.059986
922,51.49489
923,50.43869
924,17.010508
925,-2.3740935
926,4.4787927
927,4.7647014
928,16.022408
929,18.562517
930,46.670162
931,60.79459
932,224.37123
933,447.29294
934,529.54474
935,610.85034
936,637.506
937,718.2568
938,726.37305
939,482.17615
940,513.82544
941,334.3429
942,27.525364
943,-8.1180525
944,-33.33194
945,22.913317
946,46.563557
947,46.693367
948,-72.65512
949,-75.734634
950,7.573629
951,10.15845
952,-3.1656895
953,11.542714
954,14.574949
955,51.684906
956,226.46329
957,502.57812
958,479.65332
959,540.47656
960,596.7056
961,604.43665
962,528.8248
963,448.67334
964,338.02292
965,223.03268
966,-4.199166
967,-63.96216
968,-46.50508
969,-6.4364853
970,37.986084
971,8.384056
972,1.6237718
973,3.34792
974,-0.37116703
975,-14.254301
976,2.1930451
977,-8.135097
978,4.092767
979,21.720095
980,235.5371
981,437.87408
982,548.5637
983,626.11676
984,737.77936
985,766.9349
986,779.30096
987,732.9467
988,530.8164
989,384.16083
990,57.271557
991,16.637514
992,-5.0628676
993,-30.541601
994,6.5473027
995,27.231966
996,-10.203803
997,-57.860443
