,mont-tricias
651,222.3542
652,134.45845
653,12.734281
654,1.0759399
655,1.7314842
656,-10.197727
657,-10.197727
658,-0.9510353
659,0.51062447
660,-3.6432981
661,-24.961746
662,-17.271053
663,-7.4899406
664,-13.270516
665,-4.5347843
666,-0.73029083
667,43.68181
668,240.83426
669,350.4312
670,495.42468
671,529.6547
672,629.776
673,541.33374
674,389.29297
675,183.60622
676,129.91168
677,11.706322
678,2.7702286
679,-0.1454705
680,-4.041918
681,5.2656536
682,2.4458258
683,0.7303681
684,-6.550909
685,-0.8815018
686,-2.2563367
687,-4.272796
688,-10.608906
689,-15.261257
690,-23.41407
691,28.931902
692,232.88875
693,362.6345
694,562.3578
695,576.73413
696,339.25653
697,458.11615
698,359.99805
699,223.39127
700,163.88254
701,16.790161
702,48.50155
703,5.202655
704,6.4961495
705,26.328136
706,-0.17871353
707,4.3823466
708,-7.035128
709,8.143107
710,3.055161
711,4.9138875
712,6.5403852
713,13.474144
714,21.47754
715,29.332941
716,291.853
717,333.49017
718,202.04506
719,185.75279
720,209.87375
721,101.11828
722,81.329544
723,74.965744
724,56.13755
725,-0.3159037
726,-3.4663846
727,-4.7400565
728,0.08394943
729,-0.701973
730,-18.647648
731,2.9068613
732,-5.2431526
733,-3.0310457
734,-8.142786
735,-2.3082838
736,5.1575465
737,2.7073545
738,-12.471971
739,36.150394
740,191.67761
741,352.62384
742,420.35352
743,477.97662
744,525.46094
745,341.06073
746,199.08356
747,149.17892
748,126.04607
749,14.995582
750,5.000119
751,-6.1791945
752,-1.9890624
753,-1.7478813
754,10.539289
755,-2.6588507
756,19.25147
757,-3.346034
758,-1.4765635
759,-4.8661222
760,2.1424518
761,-1.039601
762,-0.48863703
763,21.798773
764,169.12105
765,249.91559
766,412.41586
767,396.39685
768,399.23486
769,354.9012
770,262.72153
771,182.46097
772,163.14919
773,23.74531
774,-42.121704
775,33.812862
776,14.754386
777,-12.554445
778,-14.573924
779,-9.150115
780,-5.6790667
781,-1.3992661
782,2.759215
783,-0.028233118
784,-4.052946
785,-4.204913
786,-4.7567544
787,33.239956
788,131.40047
789,166.4506
790,155.18301
791,154.40364
792,147.6577
793,166.92873
794,133.69772
795,142.8744
796,94.08988
797,19.096865
798,7.2738485
799,5.612257
800,-0.36912438
801,2.6949708
802,6.604414
803,2.2461362
804,-1.9991783
805,-0.65352255
806,-2.3695428
807,3.6624334
808,5.380519
809,5.1410093
810,0.6632608
811,17.541206
812,163.0153
813,209.50858
814,215.57954
815,234.34105
816,227.14278
817,255.05844
818,154.61055
819,115.75631
820,90.56874
821,5.0227594
822,-3.1209917
823,0.42485115
824,2.2379436
825,-0.44358915
826,-4.942643
827,-11.212008
828,-5.278917
829,-11.016252
830,-8.65885
831,24.178476
832,1.3062876
833,3.7397513
834,4.0477066
835,19.945179
836,189.78824
837,263.92026
838,336.01178
839,401.02533
840,419.2446
841,333.14075
842,317.7226
843,164.73814
844,165.53403
845,25.596909
846,3.7942271
847,-0.29729474
848,14.215666
849,3.3432326
850,1.8672594
851,2.4554858
852,2.4202428
853,8.311682
854,4.2392216
855,3.0146465
856,1.35065
857,1.0986948
858,-5.191059
859,19.851997
860,177.34755
861,254.72107
862,341.1661
863,311.36133
864,335.44852
865,301.56705
866,186.66888
867,166.4339
868,133.54323
869,28.1846
870,10.106116
871,-13.434846
872,-8.179249
873,-2.035852
874,-8.439868
875,-5.7710505
876,-2.6774468
877,-6.2352085
878,-0.9038964
879,-7.6302586
880,-5.275965
881,16.16861
882,-2.129408
883,49.542538
884,179.60356
885,209.41078
886,252.95116
887,277.29703
888,458.40408
889,367.02344
890,279.28418
891,180.44885
892,71.22679
893,5.6804237
894,-4.5648828
895,-6.345175
896,-10.229903
897,-9.011393
898,-4.597071
899,-6.266827
900,-4.836384
901,-4.842959
902,-4.4598913
903,0.59222066
904,0.17427403
905,-5.502543
906,-1.2844772
907,-17.683947
908,151.77272
909,348.36047
910,328.78668
911,364.61948
912,309.64813
913,299.58063
914,226.60828
915,97.37397
916,63.83541
917,-4.90517
918,-8.835674
919,-10.536672
920,-5.4132395
921,-16.244322
922,16.607851
923,-2.3096042
924,-2.3579597
925,17.236687
926,-39.07691
927,-17.911325
928,-8.771071
929,-40.18345
930,-38.485615
931,37.314877
932,173.43977
933,398.01965
934,477.89502
935,469.32217
936,485.1819
937,488.14175
938,375.1484
939,190.48288
940,83.59853
941,22.175161
942,2.9921458
943,-3.5967646
944,-14.675235
945,-20.065754
946,-8.194425
947,-5.519376
948,-12.423581
949,-14.235864
950,0.60469574
951,-3.2206905
952,-5.2929287
953,-0.8509549
954,21.103863
955,30.263655
956,150.22845
957,156.07518
958,148.02681
959,107.420334
960,209.06705
961,114.46486
962,83.78607
