,centrovis-aemet
653,35.76171
654,9.185584
655,-13.218412
656,-1.0430402
657,-9.442473
658,-12.901684
659,6.05168
660,-5.528504
661,4.102261
662,-2.9329689
663,-3.3126419
664,-7.724223
665,-0.57471985
666,-10.235205
667,39.04094
668,277.36493
669,372.13803
670,585.92456
671,655.3387
672,733.8653
673,653.95184
674,407.98755
675,249.52951
676,141.72691
677,14.4553795
678,3.0390882
679,-9.74911
680,-5.9102097
681,1.6457387
682,-0.2596108
683,-2.6778545
684,0.86024475
685,-6.25611
686,9.983382
687,1.8102385
688,4.4478807
689,-64.04048
690,-7.321461
691,31.601208
692,226.56935
693,452.25443
694,598.95776
695,585.14
696,640.84814
697,564.02905
698,441.36884
699,231.2142
700,190.00127
701,-1.8176827
702,1.6215562
703,30.021059
704,-6.6736784
705,-6.7004733
706,28.424866
707,-2.4707751
708,5.16069
709,2.1349077
710,3.1299539
711,-5.909253
712,-1.0174699
713,14.496663
714,-23.500988
715,77.420006
716,258.56732
717,446.24045
718,440.62125
719,588.9952
720,617.05133
721,563.165
722,425.85733
723,216.6985
724,255.21791
725,34.344223
726,19.054634
727,6.059696
728,0.4700217
729,-1.5279604
730,1.4421109
731,-5.371091
732,-23.89759
733,-11.040692
734,-6.1767883
735,-6.9487534
736,-22.551104
737,-29.051018
738,-19.33226
739,30.359291
740,217.39021
741,416.72235
742,492.08633
743,541.2454
744,580.84247
745,524.4224
746,389.8974
747,230.97171
748,100.01278
749,13.48958
750,-8.338084
751,-14.784445
752,7.266339
753,-6.6706123
754,-16.220257
755,3.8565948
756,-0.1597099
757,1.0010301
758,2.7450304
759,-0.44909856
760,-5.673612
761,2.7054582
762,0.62344146
763,10.153507
764,155.91196
765,399.26562
766,467.25333
767,535.4375
768,518.09625
769,507.6903
770,404.63477
771,194.44695
772,115.46697
773,28.567047
774,34.185024
775,5.3150735
776,-9.661852
777,4.831935
778,7.6964736
779,12.412106
780,4.846037
781,14.561385
782,9.771112
783,0.28180337
784,29.099396
785,20.143068
786,22.365955
787,90.55104
788,249.83371
789,343.35706
