,mont-cumbre
1009,56.9512
1010,31.328314
1011,0.56668013
1012,-3.9859285
1013,-9.047291
1014,2.708182
1015,4.05731
1016,-0.27127388
1017,2.198744
1018,2.089885
1019,-3.2225037
1020,-2.6207187
1021,5.509803
1022,31.29316
1023,62.16432
1024,123.81796
1025,112.9211
1026,43.767918
1027,66.18542
1028,10.813647
1029,14.523997
1030,15.015217
1031,9.439674
1032,78.058914
1033,83.13417
1034,37.871704
1035,18.942778
1036,12.435918
1037,4.579915
1038,2.215685
1039,-11.670115
1040,5.922901
1041,4.8858337
1042,-18.802391
1043,4.858841
1044,15.586182
1045,12.697868
1046,34.91003
1047,11.933546
1048,115.12827
1049,124.93828
1050,137.50826
1051,137.15434
1052,144.59195
1053,160.88916
1054,239.21315
1055,324.97034
1056,150.47716
1057,119.25125
1058,59.88415
1059,-1.9738231
1060,-8.479244
1061,-4.180834
1062,40.17043
1063,25.877232
1064,6.946841
1065,23.945929
1066,6.118034
1067,8.27862
1068,-8.82998
1069,3.5126626
1070,33.96704
1071,63.15726
1072,207.82892
1073,137.07436
1074,66.56593
1075,75.20126
1076,7.158157
1077,-4.8429227
1078,-8.101493
1079,-9.12785
1080,57.282803
1081,96.149185
1082,56.143387
1083,50.428272
1084,14.152337
1085,-9.024071
1086,-6.9209404
1087,3.6997697
1088,-43.06656
1089,-91.514084
1090,-73.746216
1091,22.191721
1092,-8.70468
1093,6.3481803
1094,-4.7556815
1095,133.13287
1096,237.67715
1097,295.79593
1098,562.6734
1099,706.11395
1100,730.6671
1101,710.42566
1102,676.45355
1103,619.60364
1104,329.07498
1105,181.45984
1106,50.330143
1107,-0.82133794
1108,-13.719797
1109,-9.972194
1110,23.394573
1111,-33.879604
1112,-0.89942276
1113,18.568563
1114,10.430508
1115,11.095821
1116,9.115641
1117,-56.887787
1118,0.8898355
1119,107.438805
1120,304.69434
1121,615.0082
1122,779.9445
1123,861.1207
1124,944.5522
1125,856.61127
1126,737.8474
1127,636.81116
1128,536.565
1129,291.78442
1130,161.57797
1131,-2.342011
1132,-84.214645
1133,-38.425636
1134,39.88024
1135,89.754944
1136,103.527016
1137,108.70508
1138,11.83904
1139,29.073372
1140,10.479442
1141,21.038967
1142,90.04526
1143,239.3732
1144,384.46188
1145,544.69775
1146,646.82965
1147,791.8886
1148,870.1869
1149,828.7654
1150,750.0133
1151,656.1205
1152,487.23956
1153,283.09396
1154,90.08839
1155,133.23451
1156,92.194244
1157,82.55964
1158,80.1548
1159,77.18408
1160,1.9456791
1161,16.882292
1162,-7.254519
1163,8.097286
1164,7.1837792
1165,15.273754
1166,39.707462
1167,191.8043
1168,432.06842
1169,694.0965
1170,746.9449
1171,823.2506
1172,827.3682
1173,871.6701
1174,782.5561
1175,726.2455
1176,446.77008
1177,217.7024
1178,66.083885
1179,4.5075483
1180,8.355411
1181,9.4343
1182,13.880843
1183,-10.057465
1184,-5.543187
1185,-0.51501703
1186,-4.696181
1187,7.310531
1188,-5.2971253
1189,3.376049
1190,27.470633
1191,122.93382
1192,303.6693
1193,359.7788
1194,485.87042
1195,488.40817
1196,354.0582
1197,302.96106
1198,346.31177
1199,301.08868
1200,275.6562
1201,39.34664
1202,94.60565
1203,78.79048
1204,75.45485
1205,19.2047
1206,71.910706
1207,25.572012
1208,99.20265
1209,61.138184
1210,65.88349
1211,51.32384
1212,-1.2014455
1213,7.37631
1214,38.775448
1215,128.14108
1216,194.56996
1217,390.07727
1218,656.83813
1219,759.16003
1220,688.4912
1221,791.6781
1222,634.8707
1223,613.4385
1224,390.03223
1225,228.00722
1226,171.71523
1227,100.43414
1228,83.76088
1229,93.34499
1230,85.358574
1231,80.498825
1232,62.801804
1233,59.842045
1234,69.184006
1235,-4.2121115
1236,-0.37323615
1237,65.65153
1238,0.0557524
1239,79.168945
1240,304.2627
1241,407.364
1242,751.2711
1243,781.67816
1244,813.3451
1245,847.75824
1246,747.438
1247,705.68207
1248,429.39542
1249,168.44612
1250,36.607536
1251,2.138008
1252,-6.999359
1253,-10.987407
1254,-6.6313634
1255,2.7938447
1256,1.8369358
1257,6.086289
1258,5.2425103
1259,-0.43056986
1260,36.073177
1261,40.970837
1262,47.576298
1263,78.32751
1264,156.36653
1265,162.38193
