,salinas
706,21.95729
707,7.9318714
708,-26.308893
709,10.158472
710,79.983925
711,24.571337
712,44.260143
713,100.96182
714,166.856
715,412.8167
716,401.4957
717,606.3095
718,696.7132
719,678.6743
720,649.01105
721,442.35098
722,310.51404
723,254.88928
724,86.38785
725,86.44152
726,64.518974
727,71.456375
728,58.268562
729,44.34229
730,-34.469776
731,-32.376682
732,9.50608
733,22.540907
734,-78.79587
735,-9.293593
736,-40.30406
737,-21.07102
738,22.658512
739,74.275154
740,403.54938
741,544.6572
742,723.57086
743,731.0501
744,678.9825
745,401.09875
746,245.83656
747,212.16151
748,16.530855
749,41.64701
750,46.330162
751,19.028862
752,13.104405
753,52.95728
754,-30.467136
755,-49.553097
756,-11.844418
757,-16.499557
758,-21.278034
759,2.6933908
760,-28.80646
761,-6.3011103
762,75.40475
763,293.29782
764,475.09183
765,658.2471
766,655.5362
767,715.837
768,642.8559
769,448.4821
770,206.33966
771,213.09634
772,66.06252
773,44.1819
774,3.1629066
775,53.656227
776,46.172024
777,55.48022
778,16.261879
779,21.322212
780,13.7172
781,-57.808037
782,-45.29457
783,33.389664
784,25.018555
785,-16.762295
786,-18.075512
787,315.929
788,362.88815
789,572.46747
790,598.5559
791,637.4726
792,657.69037
793,443.13702
794,213.05939
795,66.35755
796,35.44829
797,19.54763
798,11.366843
799,-1.2151918
800,-39.601467
801,-34.50197
802,-12.25792
803,-19.438206
804,-44.306007
805,-33.01822
806,4.7795258
807,10.47483
808,-43.733223
809,-25.984472
810,42.85764
811,287.56326
812,459.1768
813,649.9062
814,687.93964
815,688.34766
816,670.61957
817,511.4248
818,242.78244
819,264.0378
820,126.25342
821,66.98213
822,53.589874
823,37.98431
824,13.116721
825,46.85157
826,-15.631085
827,-24.054592
828,-10.936614
829,-4.3995457
830,-22.061468
831,-28.087622
832,-23.873672
833,-60.038246
834,5.7621374
835,284.61118
836,480.18723
837,656.376
838,702.2489
839,717.29047
840,678.92554
841,462.40787
842,257.13974
843,219.97078
844,58.599987
845,42.75319
846,28.501385
847,17.694609
848,3.7966332
849,21.103178
850,1.3845477
851,18.648252
852,25.096998
853,21.068462
854,23.75087
855,-31.609379
856,7.8549943
857,-69.26916
858,56.768528
859,312.24265
860,446.9495
861,652.85913
862,664.64685
863,662.89685
864,697.4635
865,376.9753
866,265.56305
867,173.4717
868,-2.3482513
869,-87.934456
870,-20.270191
871,-23.236752
872,-58.88811
873,-2.1257107
874,-81.16463
875,-81.45437
876,-10.87526
877,-5.372266
878,-0.95309925
879,-2.8661373
880,-3.0481582
881,-6.466152
882,57.232765
883,246.30884
884,364.95633
885,655.9731
886,658.5349
887,689.5862
888,587.0205
889,410.6787
890,277.71622
891,161.6497
892,-21.636421
893,42.076927
894,32.479504
895,17.777658
896,-7.0787473
897,-18.428642
898,-15.344325
899,-7.136472
900,-19.514244
901,-0.3775307
902,-21.395851
903,-4.47504
904,-3.1726515
905,-9.559686
906,50.640423
907,253.38594
908,392.8439
909,638.30676
910,730.4053
911,718.84686
912,683.9009
913,399.72784
914,281.21432
915,217.20009
916,72.98771
917,39.268967
918,54.15099
919,36.27535
920,25.744743
921,46.625664
922,-13.956853
923,-22.953987
924,11.278646
925,34.7202
926,36.449467
927,17.230623
