,fagundo
929,14.284097
930,20.376387
931,3.091694
932,6.6286373
933,-4.2150316
934,7.7574563
935,-0.10029339
936,8.652438
937,-1.1250832
938,-0.43712574
939,12.219504
940,-4.4868045
941,38.94184
942,254.27336
943,455.78287
944,585.1685
945,537.6077
946,632.92633
947,391.5362
948,459.59384
949,204.64247
950,213.46794
951,37.823418
952,26.127531
953,15.744904
954,0.015781753
955,-4.5554423
956,-4.5554423
957,-0.7495917
958,-2.9238703
959,-2.1633866
960,-1.1769364
961,0.45065504
962,1.5050081
963,4.731472
964,0.25903225
965,41.169876
966,274.4017
967,429.6845
968,623.68713
969,700.5368
970,686.406
971,677.56335
972,419.33633
973,166.42744
974,107.264626
975,18.391525
976,6.9598427
977,-31.570024
978,-10.8470745
979,-10.8470745
980,-31.54063
981,-4.477856
982,-0.13286984
983,-2.9680185
984,-5.2891693
985,-1.5384454
986,18.722342
987,18.361124
988,4.323049
989,26.210306
990,204.99547
991,406.39783
992,361.17715
993,450.65744
994,563.56854
995,462.01685
996,553.62836
997,282.326
998,173.32037
999,33.97581
1000,5.4214087
1001,2.54048
1002,-2.254777
1003,-8.732946
1004,-4.1883473
1005,-2.3049262
1006,0.6032946
1007,0.6032946
1008,-0.8056415
1009,-0.30634138
1010,-3.7620995
1011,-0.80130064
1012,-2.1406634
1013,31.180784
1014,288.56973
1015,437.00977
1016,590.7359
1017,456.81592
1018,498.0023
1019,495.56207
1020,395.1452
1021,219.57605
1022,92.444984
1023,-3.0490665
1024,2.3774347
1025,-4.3642592
1026,-6.89495
1027,5.767301
1028,0.27323222
1029,2.312226
1030,10.325437
1031,-38.943127
1032,8.190871
1033,-9.51674
1034,-7.4256854
1035,6.0780764
1036,-113.21426
1037,-98.32276
1038,150.83669
1039,284.02493
1040,369.29922
1041,533.72797
1042,450.7916
1043,464.53348
1044,455.67963
1045,187.50868
1046,120.02335
1047,-58.6525
1048,-58.059444
1049,-70.95721
1050,-69.5779
1051,-67.18508
1052,-52.99349
1053,-7.1831613
1054,7.9160757
1055,1.6855458
1056,-5.5352054
1057,-1.1207124
1058,-6.1649694
1059,-3.9740353
1060,11.386777
1061,78.04245
1062,213.29129
1063,537.45483
1064,514.25354
