,cabildo
709,776.5313
710,718.6132
711,378.43845
712,246.51169
713,244.1487
714,57.025
715,40.633812
716,58.45619
717,49.385082
718,33.094753
719,33.361023
720,-40.330784
721,-60.16703
722,-12.809298
723,9.985266
724,-5.3078313
725,-69.12411
726,0.6657432
727,13.536776
728,72.0336
729,118.95935
730,401.6611
731,562.5682
732,681.18695
733,734.1209
734,651.2482
735,376.5282
736,238.47148
737,154.821
738,27.184034
739,10.675232
740,5.625317
741,9.507249
742,-38.28012
743,15.598003
744,-11.120507
745,25.868372
746,5.6160383
747,36.401756
748,-4.668566
749,-26.756718
750,-7.7728014
751,26.919607
752,105.127
753,302.59018
754,365.78665
755,658.4826
756,758.27594
757,766.2114
758,744.8692
759,474.00208
760,325.79697
761,307.19815
762,103.25366
763,61.98857
764,73.158226
765,60.716904
766,96.05984
767,83.23988
768,-19.125923
769,-23.014854
770,-55.575294
771,-19.94597
772,-20.994509
773,-4.377336
774,20.385933
775,42.37493
776,71.17185
777,318.67932
778,431.2844
779,634.6327
780,703.9303
781,672.3535
782,597.23694
783,375.54953
784,282.70474
785,186.21545
786,93.89452
787,40.819286
788,36.101482
789,24.040579
790,-18.409893
791,-14.114241
792,-6.331132
793,24.391668
794,-13.940218
795,-7.7296066
796,10.302769
797,11.078648
798,11.633301
799,-5.7969
800,91.149414
801,354.08646
802,472.2832
803,656.5328
804,617.81366
805,665.72784
806,601.27203
807,495.3444
808,385.91476
809,296.68
810,69.22607
811,94.303734
812,5.321118
813,61.573036
814,45.865738
815,29.974693
816,-20.07912
817,-27.692947
818,-36.781063
819,4.7096095
820,-20.62654
821,-12.730048
822,-3.8915296
823,0.067263216
824,82.421455
825,342.72382
826,555.4908
827,728.99347
828,824.19794
829,700.9324
830,824.0307
831,531.7393
832,375.02585
833,245.482
834,136.07957
835,72.24904
836,41.91919
837,-0.8285018
838,37.962444
839,43.88385
840,-33.86179
841,-41.58847
842,-37.641453
843,-25.869429
844,69.6289
845,-3.5388985
846,10.27059
847,21.101883
848,134.66866
849,325.59747
850,456.51044
851,661.70795
852,687.38293
853,742.64777
854,592.3918
855,405.16736
856,273.63214
857,147.01256
858,-40.461327
859,-53.126446
860,41.332897
861,-15.289986
862,-50.62849
863,-23.00361
864,22.255108
865,-6.832266
866,-8.323861
867,-3.2875123
868,-13.353497
869,-0.11901843
870,2.3034184
871,-10.422076
872,88.717636
873,310.63556
874,420.22345
875,602.6279
876,677.4405
877,734.5823
878,585.63043
879,331.31888
880,218.0401
881,164.45293
882,-102.352036
883,24.668676
884,4.514388
885,10.355302
886,-7.231782
887,-28.544209
888,5.2660594
889,4.502475
890,2.5094845
891,-23.99557
892,-2.4330816
893,10.823764
894,-12.905776
895,2.7777205
896,46.32028
897,328.2635
898,425.5184
899,620.2998
900,732.26544
901,749.7761
902,721.50903
903,401.68967
904,322.8798
905,277.2789
906,101.28975
907,65.94801
908,11.74613
909,77.04616
910,55.68444
911,69.23687
912,12.007896
913,-21.376745
914,-46.36385
915,23.737722
916,41.210426
917,16.065113
918,-24.999895
919,15.368058
920,87.48703
921,170.3117
922,480.28946
923,719.5668
924,722.0584
925,700.85834
926,670.23773
927,399.56775
928,262.466
929,167.681
930,-18.121748
931,40.3126
932,26.91175
933,60.828407
934,39.880043
935,72.32012
936,-62.25302
937,-50.2995
938,-5.1371317
939,5.7994976
940,-33.288193
941,73.07255
942,18.709915
943,33.344666
944,140.66888
945,305.20728
946,471.09348
947,620.5291
948,690.1096
949,718.7724
950,710.4021
951,538.07135
952,320.75192
953,280.53204
954,90.09997
955,26.000357
956,31.38863
957,23.973366
958,-8.969313
959,24.960535
960,-13.910179
961,-6.083091
962,13.804853
963,37.451702
964,44.766132
965,-6.7585573
966,-10.755527
967,13.07541
968,77.56233
969,262.2358
970,551.0302
971,680.58966
972,730.92084
973,730.0347
974,763.1898
975,353.88232
976,215.38387
977,204.3606
978,79.9107
979,21.19249
980,27.906229
981,13.924149
982,51.49948
983,25.453415
984,-28.867373
985,-22.984346
986,3.0714293
987,9.116317
988,-35.1167
989,-16.089218
990,18.377245
991,17.980774
992,109.036835
993,321.39023
994,456.90042
995,600.196
996,631.8482
997,637.835
998,555.7714
999,413.0765
1000,241.76378
1001,218.27463
1002,29.457613
1003,34.308544
1004,6.7237616
1005,50.726704
1006,43.678802
1007,78.37854
1008,-4.7211256
1009,6.0237083
1010,-3.6944084
1011,-22.015509
1012,-15.036677
1013,-19.921549
1014,-29.997292
1015,-4.4579706
1016,104.35337
1017,294.3656
1018,393.10196
1019,620.7556
1020,752.975
1021,730.223
1022,730.2165
1023,444.76282
1024,306.74506
1025,240.11885
1026,27.65093
1027,55.756382
1028,62.00767
1029,55.16575
1030,62.10824
1031,-5.224216
1032,-6.5919223
1033,-0.4833191
1034,2.6346226
1035,-16.505114
1036,3.5940895
1037,7.7185445
1038,3.3198738
1039,5.8290033
1040,83.5744
1041,145.84978
1042,384.60193
1043,678.59186
1044,675.2164
1045,669.6861
1046,586.03925
1047,477.51932
1048,380.33505
1049,320.45468
1050,71.22927
1051,58.15654
1052,63.02557
1053,51.152714
1054,63.13444
1055,54.635555
1056,-30.389696
1057,36.232906
1058,12.430054
1059,18.90468
1060,-15.184663
1061,13.426823
1062,-6.1295557
1063,41.712055
1064,72.49879
1065,273.37164
1066,489.88962
1067,654.4887
1068,729.95
1069,622.3944
1070,580.51526
1071,459.88644
1072,286.22964
1073,198.32794
1074,45.333794
1075,35.92778
1076,11.127378
1077,17.047314
1078,35.146343
1079,8.579178
1080,-36.34724
1081,-22.155025
1082,21.309044
1083,20.700191
1084,27.50852
1085,-33.008472
1086,-0.37423488
1087,17.969677
1088,64.003944
1089,282.11874
1090,442.97485
1091,563.46545
1092,684.2145
1093,662.30304
1094,674.1782
1095,451.96622
1096,265.91104
1097,233.3807
1098,77.158066
1099,67.73336
1100,41.891747
1101,48.193596
1102,4.6080713
1103,-24.945303
1104,-23.745588
1105,-10.899034
1106,-4.6616783
1107,-8.748627
1108,-1.3305808
1109,23.668808
1110,-5.9692664
1111,-3.7158813
1112,115.32036
1113,330.81717
1114,424.1567
1115,622.6371
1116,697.04614
1117,709.61536
1118,572.27435
1119,431.69006
1120,236.01836
1121,198.67058
1122,13.061639
1123,21.034184
1124,28.9544
1125,12.903884
1126,-5.359597
1127,27.51751
1128,-9.882721
1129,-16.018234
1130,-18.305897
1131,-2.6140766
1132,31.876505
1133,5.726201
1134,22.09291
1135,4.5868225
1136,98.235054
1137,334.05994
1138,432.92795
1139,609.2853
1140,732.04956
1141,720.75745
1142,596.8436
1143,454.72897
1144,297.8607
1145,261.50925
1146,72.98223
1147,30.652636
1148,51.94752
1149,51.442986
1150,78.84476
1151,4.3734703
1152,-59.479908
1153,-41.60159
1154,-30.217377
1155,-4.9033084
1156,-32.052094
1157,-47.456055
1158,-44.25099
1159,32.278965
1160,62.756485
1161,274.04233
1162,520.7866
1163,779.81946
1164,751.2173
1165,805.22217
1166,641.1607
1167,344.42282
1168,270.9372
1169,188.40977
1170,1.145567
1171,-41.94183
1172,57.66999
1173,2.5954294
1174,-4.4893312
1175,-17.33041
1176,-0.20640954
1177,-0.07587757
1178,11.581405
1179,8.78239
1180,-81.90691
1181,-3.6793728
1182,4.5174766
1183,14.459209
1184,108.89366
1185,392.46603
1186,603.3201
1187,788.26263
1188,856.6725
1189,899.8171
1190,820.3002
1191,570.61707
1192,472.0253
1193,293.75638
1194,46.75586
1195,55.33006
1196,21.32243
1197,9.511628
1198,49.378586
1199,90.58816
1200,-10.006037
1201,1.8617585
1202,-2.1875923
1203,-12.444836
1204,-3.962085
1205,-8.37765
1206,2.1196814
1207,3.446083
1208,92.114204
1209,198.27728
1210,496.71432
1211,707.2115
1212,714.2247
1213,843.83124
1214,775.4682
1215,500.1772
1216,437.83765
1217,339.4879
1218,181.7331
1219,101.01798
1220,60.595844
1221,59.795547
1222,15.801391
1223,36.469193
1224,-24.800951
1225,-20.229927
1226,-41.16122
1227,-20.776834
1228,32.56179
1229,32.058376
1230,19.421242
1231,33.588634
1232,53.605904
1233,152.38817
1234,473.924
1235,730.29504
1236,692.9086
1237,753.7379
1238,687.414
1239,507.90067
1240,361.59177
1241,343.74362
1242,47.54898
1243,-2.4758677
1244,32.464054
1245,51.11515
1246,47.104904
1247,53.67471
1248,-14.966699
1249,11.356074
1250,-6.9631443
1251,-8.689928
1252,-15.816037
1253,6.4460187
1254,-5.4767265
1255,20.892593
1256,69.449326
1257,271.51337
1258,594.36096
1259,789.2858
1260,779.4936
1261,858.4982
1262,748.973
1263,587.7366
1264,480.9844
1265,360.72598
1266,140.61859
1267,25.555237
1268,17.33618
1269,48.43231
1270,76.08234
1271,43.534306
1272,1.3832219
1273,15.84074
1274,10.168404
1275,27.549194
1276,18.335928
1277,-9.100574
1278,15.9023
1279,35.05562
1280,64.64877
1281,276.0768
1282,543.7709
1283,756.5688
1284,870.8833
1285,790.8692
1286,771.0323
1287,546.0459
1288,509.17404
1289,312.84244
1290,158.55939
1291,81.93063
1292,67.02814
1293,56.09382
1294,51.36588
1295,46.57024
1296,-18.066702
1297,7.1799626
1298,36.803566
1299,41.025127
1300,102.83439
1301,80.3508
1302,21.087088
1303,35.921185
1304,152.96057
1305,331.27588
1306,552.04156
1307,720.9685
1308,780.1072
1309,817.86896
1310,753.59784
1311,521.70435
1312,522.1741
1313,311.35434
1314,98.67339
1315,47.779648
1316,50.80402
1317,21.739973
1318,41.460728
1319,34.787914
1320,31.827244
1321,6.697202
1322,6.697202
1323,21.175308
1324,51.672493
1325,33.76368
1326,-2.9349217
1327,3.8368027
1328,189.41275
1329,412.37155
1330,558.59106
1331,731.0789
1332,784.47577
1333,830.16705
1334,789.58844
1335,510.8424
1336,443.91415
1337,333.86554
1338,133.0678
1339,57.802296
1340,24.96945
1341,25.590464
1342,30.890274
1343,27.613201
1344,3.8583996
1345,36.85088
1346,-2.6132288
1347,15.987463
1348,-8.396756
1349,-3.3942375
1350,73.654274
1351,-17.112757
1352,135.86398
1353,391.19217
1354,535.04645
1355,680.41187
1356,807.0612
1357,811.7603
1358,719.227
1359,530.30115
1360,478.79733
1361,330.48035
1362,128.22469
1363,76.29415
1364,42.76012
1365,43.797905
1366,49.653297
1367,31.076523
1368,-38.1467
1369,-19.48051
1370,4.3829837
1371,-20.747774
1372,15.708425
1373,-4.2536597
1374,-24.120586
1375,1.7734545
1376,107.10139
1377,278.58508
1378,528.9667
1379,731.194
1380,828.0876
1381,828.9041
1382,765.92645
1383,502.9017
1384,427.1267
1385,320.64478
1386,89.678246
1387,71.04979
1388,-34.350594
1389,5.3714795
1390,-7.3733926
1391,15.123782
1392,-12.549314
1393,-15.1646385
1394,57.324955
1395,53.898922
1396,24.990675
1397,68.44961
1398,48.101757
1399,120.133354
1400,192.14407
1401,310.65726
1402,512.712
1403,784.0158
1404,748.2581
1405,817.7474
1406,705.5487
1407,500.53906
1408,489.6108
1409,290.20993
1410,96.72617
1411,40.293743
1412,2.3783948
1413,24.970861
1414,22.652716
1415,8.756373
1416,38.007507
1417,31.51806
1418,12.90569
1419,11.079513
1420,-8.179089
1421,-8.921688
1422,69.567215
1423,77.696335
1424,97.28675
1425,306.44055
1426,476.16602
1427,577.04236
1428,667.07587
1429,701.22144
1430,716.20935
1431,454.9658
1432,172.63042
1433,147.22775
1434,78.88141
1435,6.8434567
1436,-86.17863
1437,-81.5714
1438,-120.697586
1439,-29.214031
1440,97.32767
1441,24.942179
1442,6.124748
1443,-40.060078
1444,133.80267
1445,102.01199
1446,126.84982
1447,131.58183
1448,310.31726
1449,367.68665
1450,459.44354
1451,626.12177
1452,741.027
1453,739.8188
1454,710.6031
1455,426.55072
1456,298.3031
1457,187.06268
1458,33.83235
1459,-25.55784
1460,-96.823715
1461,-58.181263
1462,-56.41605
1463,-61.60916
1464,-27.305595
1465,-10.050234
1466,1.0061657
1467,-15.831428
1468,0.015627135
1469,12.210799
1470,10.521394
1471,-2.507718
1472,102.12251
1473,349.5192
1474,398.24683
1475,667.8512
1476,732.4905
1477,749.3949
1478,711.0694
1479,542.9987
1480,384.13474
1481,268.4187
1482,50.0673
1483,-9.022457
1484,24.079947
1485,15.110105
1486,9.864578
1487,43.846355
1488,-29.630331
1489,22.70814
1490,53.127056
1491,0.3992886
1492,-15.62156
1493,-15.837852
1494,12.404667
1495,9.606307
1496,92.267136
1497,341.2487
1498,484.95874
1499,678.71967
1500,854.76544
1501,817.51013
1502,788.324
1503,541.1503
1504,519.0727
1505,352.52484
1506,160.69167
1507,109.3007
1508,40.507328
1509,45.563435
1510,5.725272
1511,37.069466
1512,-0.7222237
1513,3.2554073
1514,-20.530561
1515,-50.49673
1516,8.5445385
1517,-33.3241
1518,-32.78516
1519,52.828182
1520,158.85213
1521,357.16983
1522,451.9083
1523,504.8463
1524,581.4477
1525,845.3027
1526,765.98755
1527,511.0217
1528,420.0734
1529,261.7135
1530,-60.060783
1531,-71.52717
1532,-77.53698
1533,-106.22392
1534,-90.59358
1535,-113.62178
1536,24.536367
1537,-74.48041
1538,48.91488
1539,-77.107925
1540,-20.794361
1541,-14.66298
1542,-114.382515
1543,-76.010994
1544,60.08598
1545,374.9225
1546,512.575
1547,555.00793
1548,534.56714
1549,661.20624
1550,564.6217
1551,488.97214
1552,336.32224
1553,317.2367
1554,70.45399
1555,-4.6291666
1556,-15.28118
1557,-29.021
1558,-10.380915
1559,-26.95668
1560,6.402818
1561,24.433073
1562,33.49428
1563,29.542639
1564,28.235258
1565,31.991318
1566,28.386002
1567,18.619658
1568,101.45031
1569,199.00801
1570,566.9402
1571,746.1476
1572,836.19617
1573,810.7009
1574,791.6597
1575,539.65826
1576,412.19058
1577,314.18634
1578,162.38872
1579,26.75149
1580,55.76589
1581,41.24138
1582,59.010345
1583,27.61753
1584,-0.45449528
1585,-8.601505
1586,13.0775795
1587,41.187065
1588,27.651379
1589,-7.4417143
1590,-11.048361
1591,-14.978193
1592,74.33425
1593,415.2856
1594,583.68933
1595,732.40875
1596,841.0675
1597,766.73364
1598,753.7859
1599,544.04
1600,421.14948
1601,311.15192
1602,120.02914
1603,93.52963
1604,51.301308
1605,53.498383
1606,-52.007797
1607,38.304184
1608,-71.93261
1609,33.044796
1610,4.502421
1611,14.113969
1612,-4.6935434
1613,16.442776
1614,-24.285828
1615,-2.5205672
1616,96.13169
1617,401.22232
1618,539.9999
1619,634.95404
1620,892.1616
1621,875.1254
1622,806.9594
1623,573.441
1624,514.12067
1625,368.68567
1626,131.45628
1627,32.699146
1628,19.823483
1629,22.64545
1630,30.907806
1631,34.275166
1632,-26.886147
1633,3.9554088
1634,47.381107
1635,38.817406
1636,41.618393
1637,17.088167
1638,76.76003
1639,10.897211
1640,54.101376
1641,227.82956
1642,516.7958
1643,770.61255
1644,843.04364
1645,877.091
1646,702.69745
1647,521.8265
1648,517.134
1649,352.71555
1650,66.352455
1651,16.761457
1652,16.079262
1653,25.760195
1654,9.193958
1655,27.968794
1656,-26.824625
1657,-6.737069
1658,54.0752
1659,8.501623
1660,12.398245
1661,34.898876
1662,44.212284
1663,22.92834
1664,103.03881
1665,398.36945
1666,504.35706
1667,683.90906
1668,757.31555
1669,835.8141
1670,667.2323
1671,464.0075
1672,351.60712
1673,258.09302
1674,46.838814
1675,100.6338
1676,53.219654
1677,50.200096
1678,31.746578
1679,30.603184
1680,25.316042
1681,11.437398
1682,0.66922075
1683,-9.500991
1684,-4.2700434
1685,6.09154
1686,-4.9308147
1687,12.105433
1688,77.19252
1689,325.55505
1690,585.51324
1691,798.362
1692,831.1688
1693,888.4246
1694,839.9163
1695,521.42664
1696,376.87323
1697,186.78899
1698,52.6377
1699,40.611397
1700,14.256468
1701,28.657732
1702,49.677208
1703,8.743842
1704,-23.350056
1705,32.347168
1706,16.47382
1707,27.256783
1708,19.605488
1709,17.269785
1710,1.460139
1711,-2.8726435
1712,97.5509
1713,202.27765
1714,522.8271
1715,782.21765
1716,775.482
1717,811.3724
1718,725.1039
1719,621.93365
1720,320.1993
1721,272.02795
1722,146.72731
1723,57.94642
1724,-44.00409
1725,26.956255
1726,8.2061405
1727,34.835495
1728,35.351086
1729,39.854862
1730,7.2034225
1731,58.75586
1732,34.43659
1733,43.184116
1734,26.940435
1735,0.6350377
1736,207.03555
1737,325.16467
1738,597.3131
1739,635.8551
1740,824.73395
1741,833.88153
1742,748.36646
1743,549.04016
1744,475.939
1745,416.24677
1746,128.94275
1747,70.79421
1748,42.47278
1749,65.18592
1750,73.12122
1751,65.762726
1752,-6.5314784
1753,17.9741
1754,-20.423346
1755,40.856262
1756,33.597527
1757,10.908501
1758,9.680412
1759,12.871327
1760,111.897964
1761,352.21008
1762,538.37085
1763,648.5229
1764,694.0417
1765,797.8762
1766,733.0534
1767,526.0556
1768,500.73877
1769,364.80835
1770,76.276794
1771,52.042404
1772,28.649685
1773,56.970352
1774,54.425835
1775,72.05083
1776,26.887184
1777,39.902943
1778,24.008919
1779,23.163807
1780,73.85881
1781,109.29905
1782,113.36414
1783,28.185713
1784,263.2125
1785,545.8862
1786,502.47946
1787,795.24927
1788,845.35126
1789,855.01056
1790,797.0709
1791,492.17752
1792,464.51608
1793,344.7766
1794,137.0936
1795,47.396038
1796,7.8391232
1797,10.267475
1798,31.6737
1799,44.02809
1800,-17.5667
1801,20.904737
1802,32.10438
1803,30.58526
